Attr_Name,Attr_Value
COLOR,RED
COLOR,BROWN
COLOR,ORANGE
COLOR,GOLD
COLOR,YELLOW
COLOR,TAN
COLOR,GREEN
COLOR,WHITE
COLOR,BLUE
COLOR,SILVER
COLOR,PURPLE
COLOR,GREY
COLOR,PINK
COLOR,BLACK
COLOR,MULTI
PRICE,$50 - $250
PRICE,$250 - $500
PRICE,$500 - $1000
PRICE,Over $1000
OCCASION,At the Office
OCCASION,Daytime
OCCASION,Graduation
OCCASION,Night Out
OCCASION,Special Event
OCCASION,Vacation
OCCASION,Weekend
FIT,A-LINE
FIT,BODYCON
FIT,SHIFT
FIT,SLIP
FIT,WRAP
SLEEVE LENGTH,3/4 SLEEVE
SLEEVE LENGTH,LONG SLEEVE
SLEEVE LENGTH,OFF THE SHOULDER
SLEEVE LENGTH,SHORT SLEEVE
SLEEVE LENGTH,SLEEVELESS
