Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&prefn1=color&prefv1=BROWN&start=0&sz=16&pageTypeContext=Search-Show,COLOR,BROWN
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&prefn1=color&prefv1=GOLD&start=0&sz=16&pageTypeContext=Search-Show,COLOR,GOLD
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&prefn1=color&prefv1=TAN&start=0&sz=16&pageTypeContext=Search-Show,COLOR,TAN
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&prefn1=color&prefv1=GREEN&start=0&sz=16&pageTypeContext=Search-Show,COLOR,GREEN
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&prefn1=color&prefv1=WHITE&start=0&sz=16&pageTypeContext=Search-Show,COLOR,WHITE
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&prefn1=color&prefv1=BLUE&start=0&sz=16&pageTypeContext=Search-Show,COLOR,BLUE
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&prefn1=color&prefv1=SILVER&start=0&sz=16&pageTypeContext=Search-Show,COLOR,SILVER
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&prefn1=color&prefv1=GREY&start=0&sz=16&pageTypeContext=Search-Show,COLOR,GREY
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&prefn1=color&prefv1=BLACK&start=0&sz=16&pageTypeContext=Search-Show,COLOR,BLACK
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&prefn1=color&prefv1=MULTI&start=0&sz=16&pageTypeContext=Search-Show,COLOR,MULTI
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&pmin=51%2e00&pmax=251%2e00&start=0&sz=16&pageTypeContext=Search-Show,PRICE,$50 - $250
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&pmin=251%2e00&pmax=501%2e00&start=0&sz=16&pageTypeContext=Search-Show,PRICE,$250 - $500
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&pmin=501%2e00&pmax=1%2c001%2e00&start=0&sz=16&pageTypeContext=Search-Show,PRICE,$500 - $1000
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&prefn1=size&prefv1=24&prevCatID=jeans&start=0&sz=16&pageTypeContext=Search-Show,JEAN SIZE,24
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&prefn1=size&prefv1=25&prevCatID=jeans&start=0&sz=16&pageTypeContext=Search-Show,JEAN SIZE,25
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&prefn1=size&prefv1=26&prevCatID=jeans&start=0&sz=16&pageTypeContext=Search-Show,JEAN SIZE,26
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&prefn1=size&prefv1=27&prevCatID=jeans&start=0&sz=16&pageTypeContext=Search-Show,JEAN SIZE,27
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&prefn1=size&prefv1=28&prevCatID=jeans&start=0&sz=16&pageTypeContext=Search-Show,JEAN SIZE,28
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&prefn1=size&prefv1=29&prevCatID=jeans&start=0&sz=16&pageTypeContext=Search-Show,JEAN SIZE,29
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&prefn1=size&prefv1=30&prevCatID=jeans&start=0&sz=16&pageTypeContext=Search-Show,JEAN SIZE,30
Women,Clothing,Western,Bottomwear,Jeans,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=jeans&prefn1=size&prefv1=31&prevCatID=jeans&start=0&sz=16&pageTypeContext=Search-Show,JEAN SIZE,31
