Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=size&prefv1=0%2C%20XS%2C%2025&prevCatID=sweaters&start=0&sz=16&pageTypeContext=Search-Show,SIZE,"0, XS, 25"
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=size&prefv1=2%2C%20XS%2FS%2C%2026&prevCatID=sweaters&start=0&sz=16&pageTypeContext=Search-Show,SIZE,"2, XS/S, 26"
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=size&prefv1=4%2C%20S%2FM%2C%2027&prevCatID=sweaters&start=0&sz=16&pageTypeContext=Search-Show,SIZE,"4, S/M, 27"
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=size&prefv1=6%2C%20M%2C%2028&prevCatID=sweaters&start=0&sz=16&pageTypeContext=Search-Show,SIZE,"6, M, 28"
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=size&prefv1=8%2C%20M%2FL%2C%2029&prevCatID=sweaters&start=0&sz=16&pageTypeContext=Search-Show,SIZE,"8, M/L, 29"
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=size&prefv1=10%2C%20L%2C%2030&prevCatID=sweaters&start=0&sz=16&pageTypeContext=Search-Show,SIZE,"10, L, 30"
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=size&prefv1=12%2C%20L%2C%2031&prevCatID=sweaters&start=0&sz=16&pageTypeContext=Search-Show,SIZE,"12, L, 31"
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=size&prefv1=14%2C%20XL%2C%2032&prevCatID=sweaters&start=0&sz=16&pageTypeContext=Search-Show,SIZE,"14, XL, 32"
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=color&prefv1=RED&start=0&sz=16&pageTypeContext=Search-Show,COLOR,RED
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=color&prefv1=BROWN&start=0&sz=16&pageTypeContext=Search-Show,COLOR,BROWN
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=color&prefv1=YELLOW&start=0&sz=16&pageTypeContext=Search-Show,COLOR,YELLOW
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=color&prefv1=TAN&start=0&sz=16&pageTypeContext=Search-Show,COLOR,TAN
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=color&prefv1=GREEN&start=0&sz=16&pageTypeContext=Search-Show,COLOR,GREEN
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=color&prefv1=WHITE&start=0&sz=16&pageTypeContext=Search-Show,COLOR,WHITE
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=color&prefv1=GREY&start=0&sz=16&pageTypeContext=Search-Show,COLOR,GREY
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=color&prefv1=PINK&start=0&sz=16&pageTypeContext=Search-Show,COLOR,PINK
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=color&prefv1=BLACK&start=0&sz=16&pageTypeContext=Search-Show,COLOR,BLACK
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=color&prefv1=MULTI&start=0&sz=16&pageTypeContext=Search-Show,COLOR,MULTI
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&pmin=51%2e00&pmax=251%2e00&start=0&sz=16&pageTypeContext=Search-Show,PRICE,$50 - $250
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&pmin=251%2e00&pmax=501%2e00&start=0&sz=16&pageTypeContext=Search-Show,PRICE,$250 - $500
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&pmin=501%2e00&pmax=1%2c001%2e00&start=0&sz=16&pageTypeContext=Search-Show,PRICE,$500 - $1000
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=SweatersByStyle&prefv1=Cardigan&start=0&sz=16&pageTypeContext=Search-Show,Style,CARDIGAN
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=SweatersByStyle&prefv1=Crewneck&start=0&sz=16&pageTypeContext=Search-Show,Style,CREWNECK
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=SweatersByStyle&prefv1=Cropped&start=0&sz=16&pageTypeContext=Search-Show,Style,CROPPED
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=SweatersByStyle&prefv1=Oversized&start=0&sz=16&pageTypeContext=Search-Show,Style,OVERSIZED
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=SweatersByStyle&prefv1=Turtleneck&start=0&sz=16&pageTypeContext=Search-Show,Style,TURTLENECK
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=SweatersSleeveLength&prefv1=3%2f4%20Sleeve&start=0&sz=16&pageTypeContext=Search-Show,Sleeve Length,3/4 SLEEVE
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=SweatersSleeveLength&prefv1=Long%20Sleeve&start=0&sz=16&pageTypeContext=Search-Show,Sleeve Length,LONG SLEEVE
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=SweatersSleeveLength&prefv1=Short%20Sleeve&start=0&sz=16&pageTypeContext=Search-Show,Sleeve Length,SHORT SLEEVE
Women,Clothing,Western,Outerwear,Sweater,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=sweaters&prefn1=SweatersSleeveLength&prefv1=Sleeveless&start=0&sz=16&pageTypeContext=Search-Show,Sleeve Length,SLEEVELESS
