Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=topsByStyle&prefv1=Blouses&page=-0,BLOUSES,BLOUSES
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=topsByStyle&prefv1=Bodysuits&page=-0,BODYSUITS,BODYSUITS
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=color&prefv1=RED&page=-0,COLOR,RED
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=color&prefv1=BROWN&page=-0,COLOR,BROWN
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=color&prefv1=GOLD&page=-0,COLOR,GOLD
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=color&prefv1=YELLOW&page=-0,COLOR,YELLOW
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=color&prefv1=TAN&page=-0,COLOR,TAN
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=color&prefv1=GREEN&page=-0,COLOR,GREEN
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=color&prefv1=WHITE&page=-0,COLOR,WHITE
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=color&prefv1=BLUE&page=-0,COLOR,BLUE
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=color&prefv1=SILVER&page=-0,COLOR,SILVER
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=color&prefv1=PURPLE&page=-0,COLOR,PURPLE
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=color&prefv1=GREY&page=-0,COLOR,GREY
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=color&prefv1=PINK&page=-0,COLOR,PINK
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=color&prefv1=BLACK&page=-0,COLOR,BLACK
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=color&prefv1=MULTI&page=-0,COLOR,MULTI
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=topsByStyle&prefv1=Crop%20Tops&page=-0,Style,CROP TOPS
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=topsByStyle&prefv1=Sweatshirts&page=-0,Style,SWEATSHIRTS
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=topsByStyle&prefv1=Tanks&page=-0,Style,TANKS
Women,Clothing,Western,Topwear,T-Shirts,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=topsByStyle&prefv1=T-Shirts&page=-0,__,__
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=topsByStyle&prefv1=Vests&page=-0,VESTS,VESTS
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=TopsSleeveLength&prefv1=Long%20Sleeve&page=-0,Sleeve_Length,LONG SLEEVE
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=TopsSleeveLength&prefv1=Short%20Sleeve&page=-0,Sleeve_Length,SHORT SLEEVE
Women,Clothing,Western,Topwear,Tops,https://www.aliceandolivia.com/on/demandware.store/Sites-aando-Site/default/Search-ShowAjax?cgid=tops&prefn1=TopsSleeveLength&prefv1=Sleeveless&page=-0,Sleeve_Length,SLEEVELESS
