Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=color&prefv1=Black&start=0&sz=16&pageTypeContext=Search-Show,Colors,Black
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=color&prefv1=Denim&start=0&sz=16&pageTypeContext=Search-Show,Colors,Denim
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=color&prefv1=Green&start=0&sz=16&pageTypeContext=Search-Show,Colors,Green
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=color&prefv1=Ivory&start=0&sz=16&pageTypeContext=Search-Show,Colors,Ivory
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=color&prefv1=Neutral%2fkh&start=0&sz=16&pageTypeContext=Search-Show,Colors,Neutral/kh
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=color&prefv1=Pink&start=0&sz=16&pageTypeContext=Search-Show,Colors,Pink
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=color&prefv1=White&start=0&sz=16&pageTypeContext=Search-Show,Colors,White
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=legShapeType&prefv1=Barrel&start=0&sz=16&pageTypeContext=Search-Show,Legshape,Barrel
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=legShapeType&prefv1=Bootcut&start=0&sz=16&pageTypeContext=Search-Show,Legshape,Bootcut
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=legShapeType&prefv1=Boot-Cut&start=0&sz=16&pageTypeContext=Search-Show,Legshape,Boot-Cut
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=legShapeType&prefv1=Boyfriend&start=0&sz=16&pageTypeContext=Search-Show,Legshape,Boyfriend
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=legShapeType&prefv1=Flare&start=0&sz=16&pageTypeContext=Search-Show,Legshape,Flare
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=legShapeType&prefv1=Skinny&start=0&sz=16&pageTypeContext=Search-Show,Legshape,Skinny
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=legShapeType&prefv1=Straight&start=0&sz=16&pageTypeContext=Search-Show,Legshape,Straight
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=legShapeType&prefv1=Trouser&start=0&sz=16&pageTypeContext=Search-Show,Legshape,Trouser
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=legShapeType&prefv1=Wide%20Leg&start=0&sz=16&pageTypeContext=Search-Show,Legshape,Wide Leg
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=size&prefv1=00&start=0&sz=16&pageTypeContext=Search-Show,Size,00
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=size&prefv1=0&start=0&sz=16&pageTypeContext=Search-Show,Size,0
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=size&prefv1=2&start=0&sz=16&pageTypeContext=Search-Show,Size,2
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=size&prefv1=4&start=0&sz=16&pageTypeContext=Search-Show,Size,4
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=size&prefv1=6&start=0&sz=16&pageTypeContext=Search-Show,Size,6
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=size&prefv1=8&start=0&sz=16&pageTypeContext=Search-Show,Size,8
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=size&prefv1=10&start=0&sz=16&pageTypeContext=Search-Show,Size,10
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=size&prefv1=12&start=0&sz=16&pageTypeContext=Search-Show,Size,12
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=size&prefv1=14&start=0&sz=16&pageTypeContext=Search-Show,Size,14
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=size&prefv1=16&start=0&sz=16&pageTypeContext=Search-Show,Size,16
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=size&prefv1=18&start=0&sz=16&pageTypeContext=Search-Show,Size,18
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=sizeTypeFilters&prefv1=Classic&start=0&sz=16&pageTypeContext=Search-Show,Size Type,Classic
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=sizeTypeFilters&prefv1=Petite&start=0&sz=16&pageTypeContext=Search-Show,Size Type,Petite
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=sizeTypeFilters&prefv1=Tall&start=0&sz=16&pageTypeContext=Search-Show,Size Type,Tall
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=fitType&prefv1=Curvy&start=0&sz=16&pageTypeContext=Search-Show,Fit,Curvy
Women,Clothing,Western,Bottomwear,Jeans,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000018&prefn1=fitType&prefv1=Regular&start=0&sz=16&pageTypeContext=Search-Show,Fit,Regular
