Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=size&prefv1=XXS&start=0&sz=16&pageTypeContext=Search-Show,Size,XXS
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=size&prefv1=XS&start=0&sz=16&pageTypeContext=Search-Show,Size,XS
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=size&prefv1=XS%2fS&start=0&sz=16&pageTypeContext=Search-Show,Size,XS/S
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=size&prefv1=S&start=0&sz=16&pageTypeContext=Search-Show,Size,S
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=size&prefv1=M&start=0&sz=16&pageTypeContext=Search-Show,Size,M
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=size&prefv1=M%2fL&start=0&sz=16&pageTypeContext=Search-Show,Size,M/L
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=size&prefv1=L&start=0&sz=16&pageTypeContext=Search-Show,Size,L
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=size&prefv1=XL&start=0&sz=16&pageTypeContext=Search-Show,Size,XL
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=size&prefv1=XXL&start=0&sz=16&pageTypeContext=Search-Show,Size,XXL
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=size&prefv1=One%20Size&start=0&sz=16&pageTypeContext=Search-Show,Size,One Size
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=color&prefv1=Black&start=0&sz=16&pageTypeContext=Search-Show,Colors,Black
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=color&prefv1=Blue&start=0&sz=16&pageTypeContext=Search-Show,Colors,Blue
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=color&prefv1=Brown&start=0&sz=16&pageTypeContext=Search-Show,Colors,Brown
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=color&prefv1=Burgundy&start=0&sz=16&pageTypeContext=Search-Show,Colors,Burgundy
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=color&prefv1=Green&start=0&sz=16&pageTypeContext=Search-Show,Colors,Green
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=color&prefv1=Grey&start=0&sz=16&pageTypeContext=Search-Show,Colors,Grey
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=color&prefv1=Ivory&start=0&sz=16&pageTypeContext=Search-Show,Colors,Ivory
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=color&prefv1=Metallic&start=0&sz=16&pageTypeContext=Search-Show,Colors,Metallic
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=color&prefv1=Multi&start=0&sz=16&pageTypeContext=Search-Show,Colors,Multi
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=color&prefv1=Navy&start=0&sz=16&pageTypeContext=Search-Show,Colors,Navy
Women,Clothing,Western,Outerwear,Sweaters,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000011&prefn1=color&prefv1=Neutral%2fkh&start=0&sz=16&pageTypeContext=Search-Show,Colors,Neutral/kh
