Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Women,Clothing,Western,Topwear,Blouse,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=topType&prefv1=Blouse&start=0&sz=16&pageTypeContext=Search-Show,__,__
Women,Clothing,Western,Topwear,Bodysuit,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=topType&prefv1=Bodysuit&start=0&sz=16&pageTypeContext=Search-Show,__,__
Women,Clothing,Western,Topwear,Shirts,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=topType&prefv1=Button%20Down&start=0&sz=16&pageTypeContext=Search-Show,__,__
Women,Clothing,Western,Topwear,Shirts,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=topType&prefv1=Shirts&start=0&sz=16&pageTypeContext=Search-Show,__,__
Women,Clothing,Western,Topwear,T-Shirts,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=topType&prefv1=Tees&start=0&sz=16&pageTypeContext=Search-Show,__,__
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=color&prefv1=Black&start=0&sz=16&pageTypeContext=Search-Show,Colors,Black
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=color&prefv1=Blue&start=0&sz=16&pageTypeContext=Search-Show,Colors,Blue
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=color&prefv1=Brown&start=0&sz=16&pageTypeContext=Search-Show,Colors,Brown
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=color&prefv1=Denim&start=0&sz=16&pageTypeContext=Search-Show,Colors,Denim
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=color&prefv1=Green&start=0&sz=16&pageTypeContext=Search-Show,Colors,Green
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=color&prefv1=Grey&start=0&sz=16&pageTypeContext=Search-Show,Colors,Grey
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=color&prefv1=Ivory&start=0&sz=16&pageTypeContext=Search-Show,Colors,Ivory
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=color&prefv1=Multi&start=0&sz=16&pageTypeContext=Search-Show,Colors,Multi
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=color&prefv1=Navy&start=0&sz=16&pageTypeContext=Search-Show,Colors,Navy
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=color&prefv1=Neutral%2fkh&start=0&sz=16&pageTypeContext=Search-Show,Colors,Neutral/kh
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=color&prefv1=Olive&start=0&sz=16&pageTypeContext=Search-Show,Colors,Olive
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=color&prefv1=Orange&start=0&sz=16&pageTypeContext=Search-Show,Colors,Orange
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=color&prefv1=Pink&start=0&sz=16&pageTypeContext=Search-Show,Colors,Pink
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=color&prefv1=Purple&start=0&sz=16&pageTypeContext=Search-Show,Colors,Purple
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=color&prefv1=Red&start=0&sz=16&pageTypeContext=Search-Show,Colors,Red
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=color&prefv1=White&start=0&sz=16&pageTypeContext=Search-Show,Colors,White
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=color&prefv1=Yellow&start=0&sz=16&pageTypeContext=Search-Show,Colors,Yellow
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=sizeTypeFilters&prefv1=Classic&start=0&sz=16&pageTypeContext=Search-Show,Size Type,Classic
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=sizeTypeFilters&prefv1=Petite&start=0&sz=16&pageTypeContext=Search-Show,Size Type,Petite
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=sizeTypeFilters&prefv1=Tall&start=0&sz=16&pageTypeContext=Search-Show,Size Type,Tall
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=sleeveLengthType&prefv1=3%2f4%20Sleeve&start=0&sz=16&pageTypeContext=Search-Show,Sleeve Length,3/4 Sleeve
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=sleeveLengthType&prefv1=Cap%20Sleeve&start=0&sz=16&pageTypeContext=Search-Show,Sleeve Length,Cap Sleeve
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=sleeveLengthType&prefv1=Long%20Sleeve&start=0&sz=16&pageTypeContext=Search-Show,Sleeve Length,Long Sleeve
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=sleeveLengthType&prefv1=Other&start=0&sz=16&pageTypeContext=Search-Show,Sleeve Length,Other
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=sleeveLengthType&prefv1=Short%20Sleeve&start=0&sz=16&pageTypeContext=Search-Show,Sleeve Length,Short Sleeve
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=sleeveLengthType&prefv1=Sleeveless&start=0&sz=16&pageTypeContext=Search-Show,Sleeve Length,Sleeveless
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=fabricYarnType&prefv1=100%25%20Cotton&start=0&sz=16&pageTypeContext=Search-Show,Fabric Type,100% Cotton
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=fabricYarnType&prefv1=100%25%20Linen&start=0&sz=16&pageTypeContext=Search-Show,Fabric Type,100% Linen
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=fabricYarnType&prefv1=100%25%20Silk&start=0&sz=16&pageTypeContext=Search-Show,Fabric Type,100% Silk
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=fabricYarnType&prefv1=Cotton%20Blend&start=0&sz=16&pageTypeContext=Search-Show,Fabric Type,Cotton Blend
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=fabricYarnType&prefv1=Linen%20Blend&start=0&sz=16&pageTypeContext=Search-Show,Fabric Type,Linen Blend
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=necklineType&prefv1=Boatneck&start=0&sz=16&pageTypeContext=Search-Show,Neckline,Boatneck
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=necklineType&prefv1=Cowl%20Neck&start=0&sz=16&pageTypeContext=Search-Show,Neckline,Cowl Neck
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=necklineType&prefv1=Crew%20Neck&start=0&sz=16&pageTypeContext=Search-Show,Neckline,Crew Neck
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=necklineType&prefv1=Halter&start=0&sz=16&pageTypeContext=Search-Show,Neckline,Halter
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=necklineType&prefv1=Mock%20Neck&start=0&sz=16&pageTypeContext=Search-Show,Neckline,Mock Neck
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=necklineType&prefv1=Off%20The%20Shoulder&start=0&sz=16&pageTypeContext=Search-Show,Neckline,Off The Shoulder
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=necklineType&prefv1=Other&start=0&sz=16&pageTypeContext=Search-Show,Neckline,Other
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=necklineType&prefv1=other&start=0&sz=16&pageTypeContext=Search-Show,Neckline,other
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=necklineType&prefv1=Scoop%20Neck&start=0&sz=16&pageTypeContext=Search-Show,Neckline,Scoop Neck
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=necklineType&prefv1=Split%20Neck&start=0&sz=16&pageTypeContext=Search-Show,Neckline,Split Neck
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=necklineType&prefv1=Square%20Neck&start=0&sz=16&pageTypeContext=Search-Show,Neckline,Square Neck
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=necklineType&prefv1=V-Neck&start=0&sz=16&pageTypeContext=Search-Show,Neckline,V-Neck
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=topType&prefv1=Cardigan&start=0&sz=16&pageTypeContext=Search-Show,Style,Cardigan
Women,Clothing,Western,Topwear,Tops,https://www.anntaylor.com/on/demandware.store/Sites-AnnTaylor-Site/default/Search-ShowAjax?cgid=cata000010&prefn1=topType&prefv1=Halter&start=0&sz=16&pageTypeContext=Search-Show,Style,Halter
