Product_Type,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Bridal Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=h7g0xmn-38&advertisementsPartnerId=100716&advertisementsVisitorId=a1529a84-8ef2-44db-80da-f4a32d49f590&advertisementsOptInConsent=true&limit=72&attribute_1046=8364&attribute_10313=61431,Style,Long Sleeve
Bridal Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=h7g0xmn-38&advertisementsPartnerId=100716&advertisementsVisitorId=a1529a84-8ef2-44db-80da-f4a32d49f590&advertisementsOptInConsent=true&limit=72&attribute_1046=8314&attribute_10313=61431,Style,A Line
Bridal Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=h7g0xmn-38&advertisementsPartnerId=100716&advertisementsVisitorId=a1529a84-8ef2-44db-80da-f4a32d49f590&advertisementsOptInConsent=true&limit=72&attribute_1046=72016&attribute_10313=61431,Style,Split
Bridal Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=h7g0xmn-38&advertisementsPartnerId=100716&advertisementsVisitorId=a1529a84-8ef2-44db-80da-f4a32d49f590&advertisementsOptInConsent=true&limit=72&attribute_1046=8349&attribute_10313=61431,Style,Off Shoulder
Bridal Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=h7g0xmn-38&advertisementsPartnerId=100716&advertisementsVisitorId=a1529a84-8ef2-44db-80da-f4a32d49f590&advertisementsOptInConsent=true&limit=72&attribute_1046=62000&attribute_10313=61431,Style,Backless
Bridal Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=h7g0xmn-38&advertisementsPartnerId=100716&advertisementsVisitorId=a1529a84-8ef2-44db-80da-f4a32d49f590&advertisementsOptInConsent=true&limit=72&attribute_1046=72005&attribute_10313=61431,Style,Fishtail
Bridal Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=h7g0xmn-38&advertisementsPartnerId=100716&advertisementsVisitorId=a1529a84-8ef2-44db-80da-f4a32d49f590&advertisementsOptInConsent=true&limit=72&attribute_1046=8300&attribute_10313=61431,Style,Slip
Bridal Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=h7g0xmn-38&advertisementsPartnerId=100716&advertisementsVisitorId=a1529a84-8ef2-44db-80da-f4a32d49f590&advertisementsOptInConsent=true&limit=72&attribute_1046=8315&attribute_10313=61431,Style,Bardot
Bridal Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=h7g0xmn-38&advertisementsPartnerId=100716&advertisementsVisitorId=a1529a84-8ef2-44db-80da-f4a32d49f590&advertisementsOptInConsent=true&limit=72&attribute_1046=72017&attribute_10313=61431,Style,Tiered
Bridal Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www.asos.com/api/product/search/v2/categories/8799?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=h7g0xmn-38&advertisementsPartnerId=100716&advertisementsVisitorId=a1529a84-8ef2-44db-80da-f4a32d49f590&advertisementsOptInConsent=true&limit=72&attribute_1046=8299&attribute_10313=61431,Style,Skater
