Product_Category,Category,Subcategory1,Category2,Category3,Attr_Name,Attr_Value,Url
Clothing,Women,Western,Topwear,Tops,Body Fit,Main Collection,https://www.asos.com/api/product/search/v2/categories/15199?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_10155=6764
Clothing,Women,Western,Topwear,Tops,Body Fit,Plus Size,https://www.asos.com/api/product/search/v2/categories/15199?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_10155=7699
Clothing,Women,Western,Topwear,Tops,Color,Black,https://www.asos.com/api/product/search/v2/categories/15199?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&base_colour=4
Clothing,Women,Western,Topwear,Tops,Color,White,https://www.asos.com/api/product/search/v2/categories/15199?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&base_colour=5
Clothing,Women,Western,Topwear,Tops,Color,Multi,https://www.asos.com/api/product/search/v2/categories/15199?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&base_colour=17
Clothing,Women,Western,Topwear,Tops,Color,Red,https://www.asos.com/api/product/search/v2/categories/15199?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&base_colour=1
Clothing,Women,Western,Topwear,Tops,Color,Brown,https://www.asos.com/api/product/search/v2/categories/15199?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&base_colour=10
Clothing,Women,Western,Topwear,Tops,Color,Green,https://www.asos.com/api/product/search/v2/categories/15199?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&base_colour=2
Clothing,Women,Western,Topwear,Tops,Color,Pink,https://www.asos.com/api/product/search/v2/categories/15199?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&base_colour=9
Clothing,Women,Western,Topwear,Tops,Color,Blue,https://www.asos.com/api/product/search/v2/categories/15199?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&base_colour=3
