Product_Category,Category,Subcategory1,Category2,Category3,Attr_Name,Attr_Value,Url
Clothing,Women,Western,Outerwear,Coats and Jackets,Product Type,Jackets,https://www.asos.com/api/product/search/v2/categories/2641?offset=0&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1047=8401
Clothing,Women,Western,Outerwear,Coats and Jackets,Product Type,Coats,https://www.asos.com/api/product/search/v2/categories/2641?offset=0&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1047=8406
Clothing,Women,Western,Outerwear,Coats and Jackets,Product Type,Gilets,https://www.asos.com/api/product/search/v2/categories/2641?offset=0&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1047=8399
Clothing,Women,Western,Outerwear,Coats and Jackets,Product Type,Ski Jackets,https://www.asos.com/api/product/search/v2/categories/2641?offset=0&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1047=9310
Clothing,Women,Western,Outerwear,Coats and Jackets,Product Type,Ski Suits,https://www.asos.com/api/product/search/v2/categories/2641?offset=0&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1047=9809
Clothing,Women,Western,Outerwear,Coats and Jackets,Style,Puffer,https://www.asos.com/api/product/search/v2/categories/2641?offset=0&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=8350
Clothing,Women,Western,Outerwear,Coats and Jackets,Style,Other,https://www.asos.com/api/product/search/v2/categories/2641?offset=0&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=61468
Clothing,Women,Western,Outerwear,Coats and Jackets,Style,Bomber Jacket,https://www.asos.com/api/product/search/v2/categories/2641?offset=0&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=10803
Clothing,Women,Western,Outerwear,Coats and Jackets,Style,Trench,https://www.asos.com/api/product/search/v2/categories/2641?offset=0&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=8297
Clothing,Women,Western,Outerwear,Coats and Jackets,Style,Faux Fur,https://www.asos.com/api/product/search/v2/categories/2641?offset=0&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=8186
