Product_Category,Category,Subcategory1,Category2,Category3,Attr_Name,Attr_Value,Url
Clothing,Women,Western,Topwear,Shirts,Body Fit,Main Collection,https://www.asos.com/api/product/search/v2/categories/15200?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsOptInConsent=true&limit=72&attribute_10155=6764
Clothing,Women,Western,Topwear,Shirts,Body Fit,Plus Size,https://www.asos.com/api/product/search/v2/categories/15200?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsOptInConsent=true&limit=72&attribute_10155=7699
Clothing,Women,Western,Topwear,Shirts,Body Fit,Tall,https://www.asos.com/api/product/search/v2/categories/15200?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsOptInConsent=true&limit=72&attribute_10155=6399
Clothing,Women,Western,Topwear,Shirts,Body Fit,Petite,https://www.asos.com/api/product/search/v2/categories/15200?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsOptInConsent=true&limit=72&attribute_10155=6403
Clothing,Women,Western,Topwear,Shirts,Color,White,https://www.asos.com/api/product/search/v2/categories/15200?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsOptInConsent=true&limit=72&base_colour=5
Clothing,Women,Western,Topwear,Shirts,Color,Multi,https://www.asos.com/api/product/search/v2/categories/15200?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsOptInConsent=true&limit=72&base_colour=17
Clothing,Women,Western,Topwear,Shirts,Color,Blue,https://www.asos.com/api/product/search/v2/categories/15200?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsOptInConsent=true&limit=72&base_colour=3
Clothing,Women,Western,Topwear,Shirts,Color,Black,https://www.asos.com/api/product/search/v2/categories/15200?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsOptInConsent=true&limit=72&base_colour=4
Clothing,Women,Western,Topwear,Shirts,Color,Green,https://www.asos.com/api/product/search/v2/categories/15200?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsOptInConsent=true&limit=72&base_colour=2
Clothing,Women,Western,Topwear,Shirts,Color,Neutral,https://www.asos.com/api/product/search/v2/categories/15200?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsOptInConsent=true&limit=72&base_colour=37
Clothing,Women,Western,Topwear,Shirts,Color,Pink,https://www.asos.com/api/product/search/v2/categories/15200?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsOptInConsent=true&limit=72&base_colour=9
Clothing,Women,Western,Topwear,Shirts,Color,Red,https://www.asos.com/api/product/search/v2/categories/15200?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsOptInConsent=true&limit=72&base_colour=1
Clothing,Women,Western,Topwear,Shirts,Color,Brown,https://www.asos.com/api/product/search/v2/categories/15200?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsOptInConsent=true&limit=72&base_colour=10
Clothing,Women,Western,Topwear,Shirts,Color,Gray,https://www.asos.com/api/product/search/v2/categories/15200?offset=-0&store=US&lang=en-US&currency=USD&rowlength=4&channel=desktop-web&country=US&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsOptInConsent=true&limit=72&base_colour=16
