Product_Category,Category,Subcategory1,Category2,Category3,Attr_Name,Attr_Value,Url
Clothing,Women,Western,Bottomwear,Shorts,New in date,Yesterday,https://www.asos.com/api/product/search/v2/categories/9263?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&freshness_band=2
Clothing,Women,Western,Bottomwear,Shorts,New in date,Last 7 Days,https://www.asos.com/api/product/search/v2/categories/9263?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&freshness_band=3
Clothing,Women,Western,Bottomwear,Shorts,New in date,Last 14 Days,https://www.asos.com/api/product/search/v2/categories/9263?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&freshness_band=4
Clothing,Women,Western,Bottomwear,Shorts,New in date,Last 28 Days,https://www.asos.com/api/product/search/v2/categories/9263?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&freshness_band=5
Clothing,Women,Western,Bottomwear,Shorts,New in date,Older Than 28 Days,https://www.asos.com/api/product/search/v2/categories/9263?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&freshness_band=6
Clothing,Women,Western,Bottomwear,Shorts,Body Fit,Main Collection,https://www.asos.com/api/product/search/v2/categories/9263?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_10155=6764
Clothing,Women,Western,Bottomwear,Shorts,Body Fit,Plus Size,https://www.asos.com/api/product/search/v2/categories/9263?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_10155=7699
Clothing,Women,Western,Bottomwear,Shorts,Body Fit,Petite,https://www.asos.com/api/product/search/v2/categories/9263?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_10155=6403
Clothing,Women,Western,Bottomwear,Shorts,Body Fit,Maternity,https://www.asos.com/api/product/search/v2/categories/9263?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_10155=6400
Clothing,Women,Western,Bottomwear,Shorts,Body Fit,Tall,https://www.asos.com/api/product/search/v2/categories/9263?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_10155=6399
