Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Clothing,Women,Western,Outerwear,Sweaters and Cardigans,Product Type,Jumpers,https://www.asos.com/api/product/search/v2/categories/2637?offset=72&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1047=8387
Clothing,Women,Western,Outerwear,Sweaters and Cardigans,Product Type,Cardigans,https://www.asos.com/api/product/search/v2/categories/2637?offset=72&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1047=8404
Clothing,Women,Western,Outerwear,Sweaters and Cardigans,Style,Regular,https://www.asos.com/api/product/search/v2/categories/2637?offset=72&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=8192
Clothing,Women,Western,Outerwear,Sweaters and Cardigans,Style,Other,https://www.asos.com/api/product/search/v2/categories/2637?offset=72&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=61468
Clothing,Women,Western,Outerwear,Sweaters and Cardigans,Style,Relaxed,https://www.asos.com/api/product/search/v2/categories/2637?offset=72&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=61476
Clothing,Women,Western,Outerwear,Sweaters and Cardigans,Style,Oversized,https://www.asos.com/api/product/search/v2/categories/2637?offset=72&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=61475
Clothing,Women,Western,Outerwear,Sweaters and Cardigans,Style,Cropped,https://www.asos.com/api/product/search/v2/categories/2637?offset=72&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=8335
Clothing,Women,Western,Outerwear,Sweaters and Cardigans,Style,Cable,https://www.asos.com/api/product/search/v2/categories/2637?offset=72&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=8351
Clothing,Women,Western,Outerwear,Sweaters and Cardigans,Style,Zip Up,https://www.asos.com/api/product/search/v2/categories/2637?offset=72&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=8319
Clothing,Women,Western,Outerwear,Sweaters and Cardigans,Style,Chunky,https://www.asos.com/api/product/search/v2/categories/2637?offset=72&includeNonPurchasableTypes=restocking&store=COM&lang=en-GB&currency=GBP&rowlength=3&channel=desktop-web&country=GB&customerloyaltytier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100712&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_1046=8317
