Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Clothing,Women,Western,Bottomwear,Jeans,Review Score,4 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=4&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,Review Score,3 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=3&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,Review Score,2 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=2&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,Review Score,1 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=1&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,size,Regular,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&size=1&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,size,Tall,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&size=2&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,size,Petite,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&size=3&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,Occasion,Vacation,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&occasion=2466&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,Occasion,Everyday,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&occasion=178282411&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,Color,Black,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1017&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,Color,Gray,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1018&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,Color,Blue,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1021&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,Color,Brown,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1023&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,Color,Multi,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1025&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,Color,White,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1029&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,Color,Beige,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1040&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,New Style,Jackets,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&newStyle=193&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,New Style,Jeans,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&newStyle=225&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,New Style,Dresses,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&newStyle=234&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,New Style,Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&newStyle=235&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,style,Straight Jeans,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&style=1137957&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,style,Relaxed Jeans,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&style=3037544&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Jeans,style,Flare Jeans,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5030&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&style=1137515&vendor=Certona&trackingid=309892845958361
