Attr_Name,Attr_Value
Review Score,4 & up
Review Score,3 & up
Review Score,2 & up
Review Score,1 & up
size,Regular
size,Tall
size,Petite
Occasion,Work
Occasion,Party
Occasion,Vacation
Occasion,Everyday
Occasion,Wedding
Color,Silver
Color,Black
Color,Gray
Color,Red
Color,Pink
Color,Blue
Color,Green
Color,Brown
Color,Multi
Color,Gold
Color,Purple
Color,White
Color,Yellow
Color,Orange
Color,Beige
Fabric Material,Cashmere
Fabric Material,Linen
Fabric Material,Silk
New Style,Dresses
New Style,Jumpsuits
New Style,jumpsuits
style,Maxi Dresses
style,Midi Dresses
style,Mini Dresses
style,Jumpsuits
style,Sale Dresses & Jumpsuits
Department,Women
