Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Clothing,Women,Western,Bottomwear,Skirts & Shorts,Review Score,4 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=4&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,Review Score,3 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=3&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,Review Score,2 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=2&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,Review Score,1 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=1&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,size,Regular,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&size=1&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,size,Tall,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&size=2&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,size,Petite,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&size=3&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,Color,Black,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1017&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,Color,Blue,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1021&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,Color,Green,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1022&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,Color,Multi,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1025&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,Color,Gold,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1026&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,Color,Purple,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1028&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,Color,White,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1029&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,Color,Yellow,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1031&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,Color,Orange,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1034&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,Color,Beige,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1040&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,New Style,Skirts,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&newStyle=226&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,style,Midi Skirts,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&style=1107754&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,style,Mini Skirts,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&style=17051&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,style,Maxi Skirts,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&style=3034266&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,style,Petite Skirts and Shorts,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&style=3012098&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Bottomwear,Skirts & Shorts,Department,Women,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5022&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&department=136&vendor=Certona&trackingid=309892845958361
