Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Clothing,Women,Western,Topwear,Tops & Blouses,Review Score,4 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=4&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Review Score,3 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=3&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Review Score,2 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=2&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Review Score,1 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=1&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,size,Regular,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&size=1&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,size,Tall,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&size=2&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,size,Petite,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&size=3&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Color,Silver,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1005&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Color,Black,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1017&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Color,Gray,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1018&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Color,Red,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1019&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Color,Pink,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1020&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Color,Blue,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1021&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Color,Green,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1022&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Color,Brown,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1023&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Color,Multi,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1025&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Color,Gold,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1026&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Color,Purple,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1028&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Color,White,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1029&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Color,Yellow,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1031&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Color,Orange,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1034&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Color,Beige,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1040&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Fabric Material,Merino,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&fabricMaterial=1932&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Fabric Material,Cashmere,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&fabricMaterial=1935&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Fabric Material,Linen,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&fabricMaterial=1943&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Fabric Material,Leather,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&fabricMaterial=2100&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Fabric Material,Ponte,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&fabricMaterial=2976&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Fabric Material,Silk,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&fabricMaterial=107420883&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,New Style,T shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&newStyle=198&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,New Style,Sweaters,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&newStyle=200&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,New Style,Blazers,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&newStyle=228&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,New Style,Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&newStyle=235&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,New Style,Vests,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&newStyle=444&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,New Style,Tank,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&newStyle=967&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,New Style,Suiting,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&newStyle=1701&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Sweater Weight,Lightweight,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&sweaterWeight=1&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Sweater Weight,Midweight,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&sweaterWeight=2&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,style,Long Sleeve Tops & Blouses,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&style=1056194&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,style,Button-Down Tops & Blouses,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&style=1189441&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,style,Sleeveless Tops & Blouses,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&style=1056191&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,style,Short Sleeve Tops & Blouses,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&style=1056192&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,style,Petite Tops & Blouses,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&style=1180411&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,style,Sale Tops & Blouses,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&style=1179773&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,Tops & Blouses,Department,Women,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=5037&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&department=136&vendor=Certona&trackingid=309892845958361
