Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.bergdorfgoodman.com/dt/api/productlisting/v2?abTestPCSVendor=EVG&categoryId=cat80001&filterOptions=%7B%22dressStyle%22%3A%5B%22A-Line%22%5D%7D&page=1&parentCategoryId=cat441206&profileId=&siloCategoryId=cat000002,Type,A-Line
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.bergdorfgoodman.com/dt/api/productlisting/v2?abTestPCSVendor=EVG&categoryId=cat80001&filterOptions=%7B%22dressStyle%22%3A%5B%22Bodycon%22%5D%7D&page=1&parentCategoryId=cat441206&profileId=&siloCategoryId=cat000002,Type,Bodycon
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.bergdorfgoodman.com/dt/api/productlisting/v2?abTestPCSVendor=EVG&categoryId=cat80001&filterOptions=%7B%22dressStyle%22%3A%5B%22Empire%22%5D%7D&page=1&parentCategoryId=cat441206&profileId=&siloCategoryId=cat000002,Type,Empire
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.bergdorfgoodman.com/dt/api/productlisting/v2?abTestPCSVendor=EVG&categoryId=cat80001&filterOptions=%7B%22dressStyle%22%3A%5B%22Fit & Flare%22%5D%7D&page=1&parentCategoryId=cat441206&profileId=&siloCategoryId=cat000002,Type,Fit & Flare
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.bergdorfgoodman.com/dt/api/productlisting/v2?abTestPCSVendor=EVG&categoryId=cat80001&filterOptions=%7B%22dressStyle%22%3A%5B%22Gown%22%5D%7D&page=1&parentCategoryId=cat441206&profileId=&siloCategoryId=cat000002,Type,Gown
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.bergdorfgoodman.com/dt/api/productlisting/v2?abTestPCSVendor=EVG&categoryId=cat80001&filterOptions=%7B%22dressStyle%22%3A%5B%22Maxi%22%5D%7D&page=1&parentCategoryId=cat441206&profileId=&siloCategoryId=cat000002,Type,Maxi
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.bergdorfgoodman.com/dt/api/productlisting/v2?abTestPCSVendor=EVG&categoryId=cat80001&filterOptions=%7B%22dressStyle%22%3A%5B%22Sheath%22%5D%7D&page=1&parentCategoryId=cat441206&profileId=&siloCategoryId=cat000002,Type,Sheath
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.bergdorfgoodman.com/dt/api/productlisting/v2?abTestPCSVendor=EVG&categoryId=cat80001&filterOptions=%7B%22dressStyle%22%3A%5B%22Shift%22%5D%7D&page=1&parentCategoryId=cat441206&profileId=&siloCategoryId=cat000002,Type,Shift
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.bergdorfgoodman.com/dt/api/productlisting/v2?abTestPCSVendor=EVG&categoryId=cat80001&filterOptions=%7B%22dressStyle%22%3A%5B%22Shirt%22%5D%7D&page=1&parentCategoryId=cat441206&profileId=&siloCategoryId=cat000002,Type,Shirt
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.bergdorfgoodman.com/dt/api/productlisting/v2?abTestPCSVendor=EVG&categoryId=cat80001&filterOptions=%7B%22dressStyle%22%3A%5B%22Slip%22%5D%7D&page=1&parentCategoryId=cat441206&profileId=&siloCategoryId=cat000002,Type,Slip
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.bergdorfgoodman.com/dt/api/productlisting/v2?abTestPCSVendor=EVG&categoryId=cat80001&filterOptions=%7B%22dressStyle%22%3A%5B%22Wrap%22%5D%7D&page=1&parentCategoryId=cat441206&profileId=&siloCategoryId=cat000002,Type,Wrap
