Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,_id,Attr_Name,Attr_Value
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.express.com/womens-clothing/dresses/cat550007/filter/length_uFilter:Mini?ICID=TN_W_DRESSES_ALL,length_uFilter:Mini,length_uFilter,Mini
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.express.com/womens-clothing/dresses/cat550007/filter/length_uFilter:Midi?ICID=TN_W_DRESSES_ALL,length_uFilter:Midi,length_uFilter,Midi
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.express.com/womens-clothing/dresses/cat550007/filter/length_uFilter:Maxi?ICID=TN_W_DRESSES_ALL,length_uFilter:Maxi,length_uFilter,Maxi
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.express.com/womens-clothing/dresses/cat550007/filter/v_size_uFilter:L?ICID=TN_W_DRESSES_ALL,v_size_uFilter:L,v_size_uFilter,L
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.express.com/womens-clothing/dresses/cat550007/filter/v_size_uFilter:M?ICID=TN_W_DRESSES_ALL,v_size_uFilter:M,v_size_uFilter,M
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.express.com/womens-clothing/dresses/cat550007/filter/v_size_uFilter:S?ICID=TN_W_DRESSES_ALL,v_size_uFilter:S,v_size_uFilter,S
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.express.com/womens-clothing/dresses/cat550007/filter/v_size_uFilter:XL?ICID=TN_W_DRESSES_ALL,v_size_uFilter:XL,v_size_uFilter,XL
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.express.com/womens-clothing/dresses/cat550007/filter/v_size_uFilter:XS?ICID=TN_W_DRESSES_ALL,v_size_uFilter:XS,v_size_uFilter,XS
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.express.com/womens-clothing/dresses/cat550007/filter/v_size_uFilter:0?ICID=TN_W_DRESSES_ALL,v_size_uFilter:0,v_size_uFilter,0
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.express.com/womens-clothing/dresses/cat550007/filter/v_size_uFilter:10?ICID=TN_W_DRESSES_ALL,v_size_uFilter:10,v_size_uFilter,10
