Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Women,Western,Outerwear,Blazers & Vests,colorWithNames,Beige,https://www2.hm.com/en_us/women/products/blazers-vests.html?colorWithNames=beige_f5f5dc
Women,Western,Outerwear,Blazers & Vests,colorWithNames,Black,https://www2.hm.com/en_us/women/products/blazers-vests.html?colorWithNames=black_000000
Women,Western,Outerwear,Blazers & Vests,colorWithNames,Blue,https://www2.hm.com/en_us/women/products/blazers-vests.html?colorWithNames=blue_0000ff
Women,Western,Outerwear,Blazers & Vests,colorWithNames,Brown,https://www2.hm.com/en_us/women/products/blazers-vests.html?colorWithNames=brown_a52a2a
Women,Western,Outerwear,Blazers & Vests,colorWithNames,Gold-Colored,https://www2.hm.com/en_us/women/products/blazers-vests.html?colorWithNames=gold-colored_ffd700
Women,Western,Outerwear,Blazers & Vests,colorWithNames,Gray,https://www2.hm.com/en_us/women/products/blazers-vests.html?colorWithNames=gray_808080
Women,Western,Outerwear,Blazers & Vests,colorWithNames,Green,https://www2.hm.com/en_us/women/products/blazers-vests.html?colorWithNames=green_008000
Women,Western,Outerwear,Blazers & Vests,colorWithNames,Multi,https://www2.hm.com/en_us/women/products/blazers-vests.html?colorWithNames=multi_000000
Women,Western,Outerwear,Blazers & Vests,colorWithNames,Red,https://www2.hm.com/en_us/women/products/blazers-vests.html?colorWithNames=red_ff0000
Women,Western,Outerwear,Blazers & Vests,colorWithNames,White,https://www2.hm.com/en_us/women/products/blazers-vests.html?colorWithNames=white_ffffff
Women,Western,Outerwear,Blazers & Vests,productTypes,Blazer,https://www2.hm.com/en_us/women/products/blazers-vests.html?productTypes=Blazer
Women,Western,Outerwear,Blazers & Vests,productTypes,Vest,https://www2.hm.com/en_us/women/products/blazers-vests.html?productTypes=Vest
Women,Western,Outerwear,Blazers & Vests,clothingStyles,Blazer,https://www2.hm.com/en_us/women/products/blazers-vests.html?clothingStyles=Blazer
Women,Western,Outerwear,Blazers & Vests,clothingStyles,Collarless,https://www2.hm.com/en_us/women/products/blazers-vests.html?clothingStyles=Collarless
Women,Western,Outerwear,Blazers & Vests,clothingStyles,Double-Breasted,https://www2.hm.com/en_us/women/products/blazers-vests.html?clothingStyles=Double-breasted
Women,Western,Outerwear,Blazers & Vests,clothingStyles,Flared,https://www2.hm.com/en_us/women/products/blazers-vests.html?clothingStyles=Flared
Women,Western,Outerwear,Blazers & Vests,clothingStyles,Single-Breasted,https://www2.hm.com/en_us/women/products/blazers-vests.html?clothingStyles=Single-breasted
Women,Western,Outerwear,Blazers & Vests,clothingStyles,Tie-Front,https://www2.hm.com/en_us/women/products/blazers-vests.html?clothingStyles=Tie-front
Women,Western,Outerwear,Blazers & Vests,fits,Loose Fit,https://www2.hm.com/en_us/women/products/blazers-vests.html?fits=Loose fit
Women,Western,Outerwear,Blazers & Vests,fits,Oversized,https://www2.hm.com/en_us/women/products/blazers-vests.html?fits=Oversized
Women,Western,Outerwear,Blazers & Vests,fits,Regular Fit,https://www2.hm.com/en_us/women/products/blazers-vests.html?fits=Regular fit
Women,Western,Outerwear,Blazers & Vests,fits,Slim Fit,https://www2.hm.com/en_us/women/products/blazers-vests.html?fits=Slim fit
Women,Western,Outerwear,Blazers & Vests,materials,Bouclé,https://www2.hm.com/en_us/women/products/blazers-vests.html?materials=Bouclé
Women,Western,Outerwear,Blazers & Vests,materials,Cotton,https://www2.hm.com/en_us/women/products/blazers-vests.html?materials=Cotton
Women,Western,Outerwear,Blazers & Vests,materials,Crepe,https://www2.hm.com/en_us/women/products/blazers-vests.html?materials=Crepe
Women,Western,Outerwear,Blazers & Vests,materials,Denim,https://www2.hm.com/en_us/women/products/blazers-vests.html?materials=Denim
Women,Western,Outerwear,Blazers & Vests,materials,Felt,https://www2.hm.com/en_us/women/products/blazers-vests.html?materials=Felt
Women,Western,Outerwear,Blazers & Vests,materials,Jersey,https://www2.hm.com/en_us/women/products/blazers-vests.html?materials=Jersey
Women,Western,Outerwear,Blazers & Vests,materials,Lace,https://www2.hm.com/en_us/women/products/blazers-vests.html?materials=Lace
Women,Western,Outerwear,Blazers & Vests,materials,Satin,https://www2.hm.com/en_us/women/products/blazers-vests.html?materials=Satin
Women,Western,Outerwear,Blazers & Vests,materials,Twill,https://www2.hm.com/en_us/women/products/blazers-vests.html?materials=Twill
Women,Western,Outerwear,Blazers & Vests,materials,Velour,https://www2.hm.com/en_us/women/products/blazers-vests.html?materials=Velour
Women,Western,Outerwear,Blazers & Vests,materials,Velvet,https://www2.hm.com/en_us/women/products/blazers-vests.html?materials=Velvet
Women,Western,Outerwear,Blazers & Vests,materials,Wool,https://www2.hm.com/en_us/women/products/blazers-vests.html?materials=Wool
Women,Western,Outerwear,Blazers & Vests,garmentLengths,Long,https://www2.hm.com/en_us/women/products/blazers-vests.html?garmentLengths=Long
Women,Western,Outerwear,Blazers & Vests,garmentLengths,Regular Length,https://www2.hm.com/en_us/women/products/blazers-vests.html?garmentLengths=Regular length
Women,Western,Outerwear,Blazers & Vests,garmentLengths,Short,https://www2.hm.com/en_us/women/products/blazers-vests.html?garmentLengths=Short
Women,Western,Outerwear,Blazers & Vests,sleeveLengths,3/4 Sleeve,https://www2.hm.com/en_us/women/products/blazers-vests.html?sleeveLengths=3/4 sleeve
Women,Western,Outerwear,Blazers & Vests,sleeveLengths,Long Sleeve,https://www2.hm.com/en_us/women/products/blazers-vests.html?sleeveLengths=Long sleeve
Women,Western,Outerwear,Blazers & Vests,sleeveLengths,Sleeveless,https://www2.hm.com/en_us/women/products/blazers-vests.html?sleeveLengths=Sleeveless
Women,Western,Outerwear,Blazers & Vests,necklineStyles,Round Neck,https://www2.hm.com/en_us/women/products/blazers-vests.html?necklineStyles=Round Neck
Women,Western,Outerwear,Blazers & Vests,necklineStyles,Square Neckline,https://www2.hm.com/en_us/women/products/blazers-vests.html?necklineStyles=Square Neckline
Women,Western,Outerwear,Blazers & Vests,necklineStyles,V-Neck,https://www2.hm.com/en_us/women/products/blazers-vests.html?necklineStyles=V-neck
Women,Western,Outerwear,Blazers & Vests,patterns,Checked,https://www2.hm.com/en_us/women/products/blazers-vests.html?patterns=Checked
Women,Western,Outerwear,Blazers & Vests,patterns,Herringbone-Patterned,https://www2.hm.com/en_us/women/products/blazers-vests.html?patterns=Herringbone-patterned
Women,Western,Outerwear,Blazers & Vests,patterns,Houndstooth,https://www2.hm.com/en_us/women/products/blazers-vests.html?patterns=Houndstooth
Women,Western,Outerwear,Blazers & Vests,patterns,Leopard-Print,https://www2.hm.com/en_us/women/products/blazers-vests.html?patterns=Leopard-print
Women,Western,Outerwear,Blazers & Vests,patterns,Pinstriped,https://www2.hm.com/en_us/women/products/blazers-vests.html?patterns=Pinstriped
Women,Western,Outerwear,Blazers & Vests,patterns,Solid-Color,https://www2.hm.com/en_us/women/products/blazers-vests.html?patterns=Solid-color
Women,Western,Outerwear,Blazers & Vests,patterns,Striped,https://www2.hm.com/en_us/women/products/blazers-vests.html?patterns=Striped
Women,Western,Outerwear,Blazers & Vests,contexts,Casual,https://www2.hm.com/en_us/women/products/blazers-vests.html?contexts=Casual
Women,Western,Outerwear,Blazers & Vests,contexts,Formal,https://www2.hm.com/en_us/women/products/blazers-vests.html?contexts=Formal
Women,Western,Outerwear,Blazers & Vests,contexts,Office Wear,https://www2.hm.com/en_us/women/products/blazers-vests.html?contexts=Office Wear
Women,Western,Outerwear,Blazers & Vests,contexts,Party,https://www2.hm.com/en_us/women/products/blazers-vests.html?contexts=Party
Women,Western,Outerwear,Blazers & Vests,contexts,Wedding,https://www2.hm.com/en_us/women/products/blazers-vests.html?contexts=Wedding
