Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Women,Western,Outerwear,Blazers & Vests,ColorWithNames,Beige,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=colorWithNames:beige_f5f5dc&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,ColorWithNames,Black,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=colorWithNames:black_000000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,ColorWithNames,Blue,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=colorWithNames:blue_0000ff&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,ColorWithNames,Brown,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=colorWithNames:brown_a52a2a&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,ColorWithNames,Gold-Colored,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=colorWithNames:gold-colored_ffd700&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,ColorWithNames,Gray,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=colorWithNames:gray_808080&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,ColorWithNames,Green,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=colorWithNames:green_008000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,ColorWithNames,Multi,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=colorWithNames:multi_000000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,ColorWithNames,Red,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=colorWithNames:red_ff0000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,ColorWithNames,White,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=colorWithNames:white_ffffff&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,GarmentLengths,Crop,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=garmentLengths:Crop&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,GarmentLengths,Long,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=garmentLengths:Long&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,GarmentLengths,Regular Length,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=garmentLengths:Regular length&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,GarmentLengths,Short,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=garmentLengths:Short&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,ClothingStyles,Blazer,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=clothingStyles:Blazer&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Blazers & Vests,ClothingStyles,Collarless,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/blazers-and-waistcoats&page-size=36&categoryId=ladies_blazerswaistcoats&facets=clothingStyles:Collarless&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
