Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Women,Western,Outerwear,Jackets & Coats,ColorWithNames,Beige,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=colorWithNames:beige_f5f5dc&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ColorWithNames,Black,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=colorWithNames:black_000000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ColorWithNames,Blue,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=colorWithNames:blue_0000ff&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ColorWithNames,Brown,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=colorWithNames:brown_a52a2a&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ColorWithNames,Gold-Colored,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=colorWithNames:gold-colored_ffd700&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ColorWithNames,Gray,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=colorWithNames:gray_808080&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ColorWithNames,Green,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=colorWithNames:green_008000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ColorWithNames,Multi,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=colorWithNames:multi_000000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ColorWithNames,Pink,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=colorWithNames:pink_ffc0cb&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ColorWithNames,Red,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=colorWithNames:red_ff0000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ColorWithNames,White,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=colorWithNames:white_ffffff&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,GarmentLengths,Knee-Length,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=garmentLengths:Knee-length&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,GarmentLengths,Long,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=garmentLengths:Long&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,GarmentLengths,Maxi,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=garmentLengths:Maxi&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,GarmentLengths,Regular Length,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=garmentLengths:Regular length&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,GarmentLengths,Short,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=garmentLengths:Short&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,A-Line,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:A-line&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Anorak,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Anorak&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Baseball Jacket,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Baseball Jacket&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Biker,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Biker&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Blazer,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Blazer&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Bomber Jacket,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Bomber Jacket&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Boxy,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Boxy&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Car Coat,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Car Coat&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Cargo,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Cargo&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Coach Jacket,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Coach Jacket&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Collarless,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Collarless&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Double-Breasted,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Double-breasted&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Duffle Coat,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Duffle Coat&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Flared,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Flared&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Harrington-Style Jacket,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Harrington-style Jacket&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Hybrid Jacket,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Hybrid Jacket&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Parka,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Parka&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Pea Coat,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Pea Coat&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Puffer,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Puffer&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Racer Jacket,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Racer Jacket&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Shell Jacket,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Shell Jacket&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Shirt Jacket,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Shirt Jacket&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Single-Breasted,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Single-breasted&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Slit,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Slit&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Snowsuit,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Snowsuit&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Jackets & Coats,ClothingStyles,Trenchcoat,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/jackets-and-coats&page-size=36&categoryId=ladies_jacketscoats&facets=clothingStyles:Trenchcoat&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
