Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Product_Type,Url,Attr_Name,Attr_Value
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?patterns=floral,Pattern,floral
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?patterns=solid-color,Pattern,solid-color
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?productTypes=dress,Product type,Dress
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?clothingStyles=bandeau,Style,Bandeau
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?clothingStyles=bodycon,Style,Bodycon
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?clothingStyles=corsetdress,Style,Corset Dress
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?clothingStyles=cut-out,Style,Cut-out
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?clothingStyles=draped,Style,Draped
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?clothingStyles=off-the-shoulder,Style,Off-the-shoulder
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?clothingStyles=openback,Style,Open Back
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?clothingStyles=pencildress,Style,Pencil Dress
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?clothingStyles=plungeback,Style,Plunge Back
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?clothingStyles=slit,Style,Slit
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?clothingStyles=smocking,Style,Smocking
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,Cut-Out Dresses,https://www2.hm.com/en_us/women/products/dresses/cut-out/_jcr_content/main/productlisting.display.json?sort=stock&image-size=small&image=model&offset=-0?clothingStyles=strapless,Style,Strapless
