Product_Category,Product_Type,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?colorWithNames=beige_f5f5dc,Native_Colour,Beige
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?colorWithNames=black_000000,Native_Colour,Black
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?colorWithNames=blue_0000ff,Native_Colour,Blue
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?colorWithNames=brown_a52a2a,Native_Colour,Brown
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?colorWithNames=gray_808080,Native_Colour,Gray
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?colorWithNames=green_008000,Native_Colour,Green
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?colorWithNames=multi_000000,Native_Colour,Multi
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?colorWithNames=orange_ffa500,Native_Colour,Orange
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?colorWithNames=pink_ffc0cb,Native_Colour,Pink
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?colorWithNames=purple_800080,Native_Colour,Purple
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?colorWithNames=red_ff0000,Native_Colour,Red
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?colorWithNames=silver-colored_c0c0c0,Native_Colour,Silver-Colored
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?colorWithNames=turquoise_40e0d0,Native_Colour,Turquoise
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?colorWithNames=white_ffffff,Native_Colour,White
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?colorWithNames=yellow_ffff00,Native_Colour,Yellow
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?garmentLengths=Knee-length,Length,Knee-Length
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?garmentLengths=Long,Length,Long
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?garmentLengths=Maxi,Length,Maxi
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?garmentLengths=Midi,Length,Midi
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?garmentLengths=Mini,Length,Mini
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?garmentLengths=Short,Length,Short
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?contexts=Beach,Occassion,Beach
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?contexts=Casual,Occassion,Casual
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?contexts=Formal,Occassion,Formal
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?contexts=Lounge,Occassion,Lounge
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?contexts=Office Wear,Occassion,Office Wear
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?contexts=Party,Occassion,Party
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?contexts=Sport,Occassion,Sport
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?contexts=Wedding,Occassion,Wedding
Clothing,Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://www2.hm.com/en_us/ladies/shop-by-product/dresses.html?sleeveLengths=3/4 sleeve,Sleeve_Length,3/4 Sleeve
