Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Women,Western,Bottomwear,Shorts,ColorWithNames,Beige,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=colorWithNames:beige_f5f5dc&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,ColorWithNames,Black,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=colorWithNames:black_000000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,ColorWithNames,Blue,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=colorWithNames:blue_0000ff&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,ColorWithNames,Brown,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=colorWithNames:brown_a52a2a&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,ColorWithNames,Gray,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=colorWithNames:gray_808080&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,ColorWithNames,Green,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=colorWithNames:green_008000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,ColorWithNames,Multi,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=colorWithNames:multi_000000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,ColorWithNames,Orange,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=colorWithNames:orange_ffa500&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,ColorWithNames,Pink,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=colorWithNames:pink_ffc0cb&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,ColorWithNames,Red,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=colorWithNames:red_ff0000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,ColorWithNames,Turquoise,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=colorWithNames:turquoise_40e0d0&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,ColorWithNames,White,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=colorWithNames:white_ffffff&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,ColorWithNames,Yellow,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=colorWithNames:yellow_ffff00&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,GarmentLengths,Crop,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=garmentLengths:Crop&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,GarmentLengths,Knee-Length,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=garmentLengths:Knee-length&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,GarmentLengths,Long,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=garmentLengths:Long&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,GarmentLengths,Midi,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=garmentLengths:Midi&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,GarmentLengths,Mini,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=garmentLengths:Mini&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,GarmentLengths,Regular Length,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=garmentLengths:Regular length&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,GarmentLengths,Short,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=garmentLengths:Short&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Shorts,ClothingStyles,A-Line,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/shorts&page-size=36&categoryId=ladies_shorts&facets=clothingStyles:A-line&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
