Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Women,Western,Bottomwear,Skirts,ColorWithNames,Beige,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=colorWithNames:beige_f5f5dc&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ColorWithNames,Black,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=colorWithNames:black_000000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ColorWithNames,Blue,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=colorWithNames:blue_0000ff&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ColorWithNames,Bronze,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=colorWithNames:bronze_cd7f32&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ColorWithNames,Brown,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=colorWithNames:brown_a52a2a&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ColorWithNames,Gray,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=colorWithNames:gray_808080&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ColorWithNames,Green,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=colorWithNames:green_008000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ColorWithNames,Multi,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=colorWithNames:multi_000000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ColorWithNames,Pink,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=colorWithNames:pink_ffc0cb&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ColorWithNames,Red,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=colorWithNames:red_ff0000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ColorWithNames,Turquoise,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=colorWithNames:turquoise_40e0d0&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ColorWithNames,White,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=colorWithNames:white_ffffff&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,GarmentLengths,Knee-Length,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=garmentLengths:Knee-length&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,GarmentLengths,Long,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=garmentLengths:Long&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,GarmentLengths,Maxi,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=garmentLengths:Maxi&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,GarmentLengths,Midi,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=garmentLengths:Midi&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,GarmentLengths,Mini,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=garmentLengths:Mini&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,GarmentLengths,Short,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=garmentLengths:Short&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ClothingStyles,A-Line,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=clothingStyles:A-line&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ClothingStyles,Cargo,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=clothingStyles:Cargo&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ClothingStyles,Circular,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=clothingStyles:Circular&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ClothingStyles,Draped,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=clothingStyles:Draped&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ClothingStyles,Flared,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=clothingStyles:Flared&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ClothingStyles,Pencil Skirt,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=clothingStyles:Pencil Skirt&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ClothingStyles,Skater,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=clothingStyles:Skater&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ClothingStyles,Skort,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=clothingStyles:Skort&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ClothingStyles,Slip Skirt,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=clothingStyles:Slip Skirt&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ClothingStyles,Slit,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=clothingStyles:Slit&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ClothingStyles,Smocked,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=clothingStyles:Smocked&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,ClothingStyles,Wrapover,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=clothingStyles:Wrapover&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,Materials,Bouclé,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=materials:Bouclé&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,Materials,Canvas,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=materials:Canvas&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,Materials,Chiffon,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=materials:Chiffon&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,Materials,Cotton,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=materials:Cotton&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,Materials,Crepe,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=materials:Crepe&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,Materials,Denim,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=materials:Denim&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,Materials,Jersey,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=materials:Jersey&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,Materials,Lace,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=materials:Lace&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Bottomwear,Skirts,Materials,Mesh,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/skirts&page-size=36&categoryId=ladies_skirts&facets=materials:Mesh&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
