Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Women,Western,Outerwear,Sweaters & Cardigans,ColorWithNames,Beige,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/cardigans-and-jumpers&page-size=36&categoryId=ladies_cardigansjumpers&facets=colorWithNames:beige_f5f5dc&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Sweaters & Cardigans,ColorWithNames,Black,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/cardigans-and-jumpers&page-size=36&categoryId=ladies_cardigansjumpers&facets=colorWithNames:black_000000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Sweaters & Cardigans,ColorWithNames,Blue,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/cardigans-and-jumpers&page-size=36&categoryId=ladies_cardigansjumpers&facets=colorWithNames:blue_0000ff&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Sweaters & Cardigans,ColorWithNames,Brown,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/cardigans-and-jumpers&page-size=36&categoryId=ladies_cardigansjumpers&facets=colorWithNames:brown_a52a2a&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Sweaters & Cardigans,ColorWithNames,Gray,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/cardigans-and-jumpers&page-size=36&categoryId=ladies_cardigansjumpers&facets=colorWithNames:gray_808080&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Sweaters & Cardigans,ColorWithNames,Green,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/cardigans-and-jumpers&page-size=36&categoryId=ladies_cardigansjumpers&facets=colorWithNames:green_008000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Sweaters & Cardigans,ColorWithNames,Multi,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/cardigans-and-jumpers&page-size=36&categoryId=ladies_cardigansjumpers&facets=colorWithNames:multi_000000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Sweaters & Cardigans,ColorWithNames,Pink,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/cardigans-and-jumpers&page-size=36&categoryId=ladies_cardigansjumpers&facets=colorWithNames:pink_ffc0cb&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Sweaters & Cardigans,ColorWithNames,Red,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/cardigans-and-jumpers&page-size=36&categoryId=ladies_cardigansjumpers&facets=colorWithNames:red_ff0000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Outerwear,Sweaters & Cardigans,ColorWithNames,Silver-Colored,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=1&sort=RELEVANCE&pageId=/ladies/shop-by-product/cardigans-and-jumpers&page-size=36&categoryId=ladies_cardigansjumpers&facets=colorWithNames:silver-colored_c0c0c0&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
