Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Women,Western,Topwear,Tops & T-Shirts,ColorWithNames,Beige,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/tops&page-size=36&categoryId=ladies_tops&facets=colorWithNames:beige_f5f5dc&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Topwear,Tops & T-Shirts,ColorWithNames,Black,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/tops&page-size=36&categoryId=ladies_tops&facets=colorWithNames:black_000000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Topwear,Tops & T-Shirts,ColorWithNames,Blue,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/tops&page-size=36&categoryId=ladies_tops&facets=colorWithNames:blue_0000ff&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Topwear,Tops & T-Shirts,ColorWithNames,Bronze,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/tops&page-size=36&categoryId=ladies_tops&facets=colorWithNames:bronze_cd7f32&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Topwear,Tops & T-Shirts,ColorWithNames,Brown,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/tops&page-size=36&categoryId=ladies_tops&facets=colorWithNames:brown_a52a2a&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Topwear,Tops & T-Shirts,ColorWithNames,Gray,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/tops&page-size=36&categoryId=ladies_tops&facets=colorWithNames:gray_808080&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Topwear,Tops & T-Shirts,ColorWithNames,Green,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/tops&page-size=36&categoryId=ladies_tops&facets=colorWithNames:green_008000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Topwear,Tops & T-Shirts,ColorWithNames,Multi,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/tops&page-size=36&categoryId=ladies_tops&facets=colorWithNames:multi_000000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Topwear,Tops & T-Shirts,ColorWithNames,Orange,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/tops&page-size=36&categoryId=ladies_tops&facets=colorWithNames:orange_ffa500&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Topwear,Tops & T-Shirts,ColorWithNames,Pink,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/tops&page-size=36&categoryId=ladies_tops&facets=colorWithNames:pink_ffc0cb&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Topwear,Tops & T-Shirts,ColorWithNames,Red,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/tops&page-size=36&categoryId=ladies_tops&facets=colorWithNames:red_ff0000&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
Women,Western,Topwear,Tops & T-Shirts,ColorWithNames,Silver-Colored,https://api.hm.com/search-services/v1/en_us/listing/resultpage?pageSource=PLP&page=2&sort=RELEVANCE&pageId=/ladies/shop-by-product/tops&page-size=36&categoryId=ladies_tops&facets=colorWithNames:silver-colored_c0c0c0&filters=sale:false||oldSale:false&touchPoint=DESKTOP&skipStockCheck=false
