Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
,,,,,,brands,Pinko
,,,,,,brands,The Attico
,,,,,,brands,Diesel
,,,,,,brands,Max Mara
,,,,,,brands,Sportmax
,,,,,,brands,Brunello Cucinelli
,,,,,,brands,Off-White
,,,,,,brands,Anine Bing
,,,,,,brands,Totême
,,,,,,brands,Agolde
,,,,,,brands,Fabiana Filippi
,,,,,,brands,Palm Angels
,,,,,,brands,Balmain
,,,,,,brands,Paco Rabanne
,,,,,,brands,Versace Jeans Couture
,,,,,,brands,'S Max Mara
,,,,,,brands,Givenchy
,,,,,,brands,Jean Paul Gaultier
,,,,,,brands,Mc2 Saint Barth
,,,,,,brands,Dsquared2
,,,,,,brands,Stella Mccartney
,,,,,,brands,Ganni
,,,,,,brands,Saint Laurent
,,,,,,brands,Wardrobe.Nyc
,,,,,,brands,Parosh
,,,,,,brands,Ami Alexandre Mattiussi
,,,,,,brands,Lemaire
,,,,,,brands,Helmut Lang
,,,,,,brands,Theory
,,,,,,brands,Majestic Filatures
,,,,,,brands,Courrèges
,,,,,,brands,Remain Birger Christensen
,,,,,,brands,Des Phemmes
,,,,,,brands,Dolce & Gabbana
,,,,,,brands,Bottega Veneta
,,,,,,brands,Jil Sander
,,,,,,brands,Missoni
,,,,,,brands,Norma Kamali
,,,,,,brands,Khaite
,,,,,,brands,Patou
,,,,,,brands,Alexander Mcqueen
,,,,,,brands,Isabel Marant
,,,,,,brands,Drkshdw
,,,,,,brands,Patrizia Pepe
,,,,,,brands,Comme Des Garçons
,,,,,,brands,Twinset
,,,,,,brands,Rick Owens
,,,,,,brands,Calvin Klein
,,,,,,brands,Chiara Ferragni
,,,,,,brands,Self-Portrait
,,,,,,brands,Prada
,,,,,,brands,Moschino
,,,,,,brands,Zimmermann
,,,,,,brands,Tom Ford
,,,,,,brands,Re/Done
,,,,,,brands,Antonelli
,,,,,,brands,Rotate By Birger Christensen
,,,,,,brands,Peserico
,,,,,,brands,Area
,,,,,,brands,Retrofete
,,,,,,brands,Loulou Studio
,,,,,,brands,Ermanno Firenze
,,,,,,brands,By Malene Birger
,,,,,,brands,J.W. Anderson
,,,,,,brands,Iro
,,,,,,brands,Victoria Beckham
,,,,,,brands,Marant Étoile
,,,,,,brands,Blumarine
,,,,,,brands,Etro
,,,,,,brands,Elisabetta Franchi
,,,,,,brands,James Perse
,,,,,,brands,Andreādamo
,,,,,,brands,Moncler
,,,,,,brands,Just Cavalli
,,,,,,brands,Dickies
,,,,,,brands,Ralph Lauren
,,,,,,brands,Stephan Janson
,,,,,,brands,Marni
,,,,,,brands,Ambush
,,,,,,brands,Giuseppe Di Morabito
,,,,,,brands,Casablanca
,,,,,,brands,M05Ch1N0 Jeans
,,,,,,brands,Balenciaga
,,,,,,brands,Msgm
,,,,,,brands,Fendi
,,,,,,brands,Kenzo
,,,,,,brands,The Row
,,,,,,brands,Michael Michael Kors
,,,,,,brands,Versace
,,,,,,brands,Chloé
,,,,,,brands,Jucca
,,,,,,brands,Alfieri & St.John
,,,,,,brands,Mm6 Maison Margiela
,,,,,,brands,Haikure
,,,,,,brands,Frame
,,,,,,brands,Vetements
,,,,,,brands,Jacquemus
,,,,,,brands,Philosophy Di Lorenzo Serafini
,,,,,,brands,Magda Butrym
,,,,,,brands,Avant Toi
,,,,,,brands,1017 Alyx 9Sm
,,,,,,brands,Joseph
,,,,,,brands,Raf Simons
,,,,,,brands,Lanvin
,,,,,,brands,Adidas By Stella Mccartney
,,,,,,brands,Wolford
,,,,,,brands,R13
,,,,,,brands,Vince
,,,,,,brands,Maison Margiela
,,,,,,brands,Pucci
,,,,,,brands,Issey Miyake
,,,,,,brands,Weekend Max Mara
,,,,,,brands,Golden Goose
,,,,,,brands,Mcm
,,,,,,brands,Max Mara Studio
,,,,,,brands,Amiri
,,,,,,brands,Semicouture
,,,,,,brands,Alanui
,,,,,,brands,Y/Project
,,,,,,brands,Coperni
,,,,,,brands,Low Classic
,,,,,,brands,Marine Serre
,,,,,,brands,Ottolinger
,,,,,,brands,Róhe
,,,,,,brands,Halfboy
,,,,,,brands,Rev
,,,,,,brands,American Vintage
,,,,,,brands,Red Valentino
,,,,,,brands,Alberta Ferretti
,,,,,,brands,Mcq Alexander Mcqueen
,,,,,,brands,Mugler
,,,,,,brands,Ferragamo
,,,,,,brands,Amen
,,,,,,brands,(Nude)
,,,,,,brands,Le Tricot Perugia
,,,,,,brands,Lorena Antoniazzi
,,,,,,brands,Ann Demeulemeester
,,,,,,brands,Stefano Mortari
,,,,,,brands,Baum Und Pferdgarten
,,,,,,brands,Alexander Wang
,,,,,,brands,A.P.C.
,,,,,,brands,Tommy Jeans
,,,,,,brands,Valentino Garavani
,,,,,,brands,Burberry
,,,,,,brands,Dries Van Noten
,,,,,,brands,Misbhv
