Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=white&categories[]=42,colors,White
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=multi&categories[]=42,colors,Multi
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=blue&categories[]=42,colors,Blue
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=black&categories[]=42,colors,Black
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=beige&categories[]=42,colors,Beige
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=pink&categories[]=42,colors,Pink
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=purple&categories[]=42,colors,Purple
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=brown&categories[]=42,colors,Brown
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=grey&categories[]=42,colors,Grey
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=green&categories[]=42,colors,Green
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=red&categories[]=42,colors,Red
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=orange&categories[]=42,colors,Orange
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=yellow&categories[]=42,colors,Yellow
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=gold&categories[]=42,colors,Gold
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=turquoise&categories[]=42,colors,Turquoise
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=silver&categories[]=42,colors,Silver
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&onSale[]=0&categories[]=42,onSale,0
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS25&categories[]=42,seasons,Ss25
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW24&categories[]=42,seasons,Fw24
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS24&categories[]=42,seasons,Ss24
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS23&categories[]=42,seasons,Ss23
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW23&categories[]=42,seasons,Fw23
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW22&categories[]=42,seasons,Fw22
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS22&categories[]=42,seasons,Ss22
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW21&categories[]=42,seasons,Fw21
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS21&categories[]=42,seasons,Ss21
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS20&categories[]=42,seasons,Ss20
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW19&categories[]=42,seasons,Fw19
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW20&categories[]=42,seasons,Fw20
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&sleeveLengths[]=long&categories[]=42,sleeveLengths,Long
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&sleeveLengths[]=&categories[]=42,sleeveLengths,
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&sleeveLengths[]=short&categories[]=42,sleeveLengths,Short
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&sleeveLengths[]=three_quarter&categories[]=42,sleeveLengths,Three_Quarter
Clothing,Women,Western,Topwear,Shirts,https://www.italist.com/api/search_products/women?skip=0&sleeveLengths[]=sleeveless&categories[]=42,sleeveLengths,Sleeveless
