Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=white&categories[]=61,colors,White
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=black&categories[]=61,colors,Black
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=multi&categories[]=61,colors,Multi
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=beige&categories[]=61,colors,Beige
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=purple&categories[]=61,colors,Purple
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=pink&categories[]=61,colors,Pink
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=blue&categories[]=61,colors,Blue
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=grey&categories[]=61,colors,Grey
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=brown&categories[]=61,colors,Brown
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=green&categories[]=61,colors,Green
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=red&categories[]=61,colors,Red
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=orange&categories[]=61,colors,Orange
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=yellow&categories[]=61,colors,Yellow
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=gold&categories[]=61,colors,Gold
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=silver&categories[]=61,colors,Silver
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&colors[]=turquoise&categories[]=61,colors,Turquoise
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&onSale[]=0&categories[]=61,onSale,0
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS25&categories[]=61,seasons,Ss25
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS24&categories[]=61,seasons,Ss24
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW24&categories[]=61,seasons,Fw24
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW23&categories[]=61,seasons,Fw23
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS23&categories[]=61,seasons,Ss23
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW22&categories[]=61,seasons,Fw22
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS22&categories[]=61,seasons,Ss22
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW21&categories[]=61,seasons,Fw21
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS21&categories[]=61,seasons,Ss21
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW20&categories[]=61,seasons,Fw20
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS20&categories[]=61,seasons,Ss20
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW19&categories[]=61,seasons,Fw19
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW17&categories[]=61,seasons,Fw17
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS19&categories[]=61,seasons,Ss19
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&sleeveLengths[]=short&categories[]=61,sleeveLengths,Short
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&sleeveLengths[]=&categories[]=61,sleeveLengths,
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&sleeveLengths[]=long&categories[]=61,sleeveLengths,Long
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&sleeveLengths[]=three_quarter&categories[]=61,sleeveLengths,Three_Quarter
Clothing,Women,Western,Topwear,T-Shirts,https://www.italist.com/api/search_products/women?skip=0&sleeveLengths[]=sleeveless&categories[]=61,sleeveLengths,Sleeveless
