Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&colors[]=black&categories[]=59&categories[]=44,colors,Black
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&colors[]=white&categories[]=59&categories[]=44,colors,White
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&colors[]=multi&categories[]=59&categories[]=44,colors,Multi
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&colors[]=beige&categories[]=59&categories[]=44,colors,Beige
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&colors[]=blue&categories[]=59&categories[]=44,colors,Blue
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&colors[]=pink&categories[]=59&categories[]=44,colors,Pink
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&colors[]=green&categories[]=59&categories[]=44,colors,Green
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&colors[]=purple&categories[]=59&categories[]=44,colors,Purple
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&colors[]=brown&categories[]=59&categories[]=44,colors,Brown
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&colors[]=grey&categories[]=59&categories[]=44,colors,Grey
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&colors[]=red&categories[]=59&categories[]=44,colors,Red
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&colors[]=orange&categories[]=59&categories[]=44,colors,Orange
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&colors[]=yellow&categories[]=59&categories[]=44,colors,Yellow
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&colors[]=silver&categories[]=59&categories[]=44,colors,Silver
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&colors[]=gold&categories[]=59&categories[]=44,colors,Gold
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&colors[]=turquoise&categories[]=59&categories[]=44,colors,Turquoise
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&onSale[]=0&categories[]=59&categories[]=44,onSale,0
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS25&categories[]=59&categories[]=44,seasons,Ss25
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS24&categories[]=59&categories[]=44,seasons,Ss24
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW24&categories[]=59&categories[]=44,seasons,Fw24
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS23&categories[]=59&categories[]=44,seasons,Ss23
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW23&categories[]=59&categories[]=44,seasons,Fw23
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW22&categories[]=59&categories[]=44,seasons,Fw22
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS22&categories[]=59&categories[]=44,seasons,Ss22
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS21&categories[]=59&categories[]=44,seasons,Ss21
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW21&categories[]=59&categories[]=44,seasons,Fw21
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW19&categories[]=59&categories[]=44,seasons,Fw19
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW20&categories[]=59&categories[]=44,seasons,Fw20
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&seasons[]=SS18&categories[]=59&categories[]=44,seasons,Ss18
Clothing,Women,Western,Topwear,Topwear,https://www.italist.com/api/search_products/women?skip=0&seasons[]=FW18&categories[]=59&categories[]=44,seasons,Fw18
