Attr_Name,Attr_Value,Counts
Fit,10.5 Inch,0
Fit,5 Inch,0
Fit,7 Inch,0
Fit,9 Inch,0
Fit,Athletic Tapered,0
Fit,Big Kid,0
Fit,Classic,103
Fit,Classic Untucked,0
Fit,Clip On,0
Fit,D-cup,0
Fit,DD,0
Fit,Full,0
Fit,Full/Queen,0
Fit,Giant,0
Fit,Hemmed,0
Fit,King,0
Fit,King/Cal. King,0
Fit,King/ Cal. King,0
Fit,Larger Sizes,0
Fit,Long torso,0
Fit,Non Thinsulate,0
Fit,Petite,3
Fit,Queen,0
Fit,Relaxed,0
Fit,Short Torso,0
Fit,Skinny,0
Fit,Slim,0
Fit,Slim thinsulate,0
Fit,Slim Untucked,0
Fit,Straight,0
Fit,Tall,3
Fit,Tall thinsulate,0
Fit,Thinsulate,0
Fit,Toddler,0
Fit,Twin XL,0
Fit,Unhemmed,0
Fit,Untucked,0
Color,Black,39
Color,Blue,6
Color,Bronze,0
Color,Brown,6
Color,Copper,0
Color,Gold,0
Color,Gray,4
Color,Green,2
Color,Multicolor,18
Color,Navy,11
Color,Neutral,22
Color,Orange,1
Color,Pink,1
Color,Purple,0
Color,Red,11
Color,Rose Gold,0
Color,Silver,0
Color,White,15
Color,Yellow,2
Pattern,Animal Print,3
Pattern,Argyle,0
Pattern,Camo,0
Pattern,Dots,0
Pattern,Fair Isle,0
Pattern,Floral,4
Pattern,Gingham,0
Pattern,Graphic,0
Pattern,Hearts,0
Pattern,Herringbone,0
Pattern,Houndstooth,0
Pattern,Marled,4
Pattern,Ombre,0
Pattern,Paisley,0
Pattern,Plaid,3
Pattern,Stripes,19
Pattern,Stars,0
Pattern,Tie Dye,0
Pattern,Tropical,0
Pattern,Other Prints,1
Trending,Best Seller,36
Trending,TopRated,44
Trending,New - Last 2 Weeks,0
Trending,New - Last 4 Weeks,2
Trending,Monogram,0
Trending,New Color,0
Trending,New To Sale,4
Re-imagined,Re-imagined,6
Re-imagined,Fair Trade,1
Re-imagined,Organic,0
Re-imagined,Recycled,0
Re-imagined,Organic and Recycled,0
-1::Mirakl (Marketplace) Product,false,71
-1::Mirakl (Marketplace) Product,true,32
-1::Category,site-categories,103
-1::Category,search,93
-1::Display on,sale_hkd,50
-1::Display on,sale_intl,70
-1::Display on,sale_cad,60
-1::Display on,sale_eur,27
-1::Display on,sale_gbp,33
-1::Display on,sale_usd,82
-1::Display on,search_hkd,156
-1::Display on,search_intl,156
-1::Display on,search_cad,156
-1::Display on,search_eur,156
-1::Display on,search_gbp,156
-1::Display on,search_usd,156
-1::Display on,standard_hkd,116
-1::Display on,standard_intl,103
-1::Display on,standard_cad,113
-1::Display on,standard_eur,131
-1::Display on,standard_gbp,126
-1::Display on,standard_usd,103
-1::Display on,standard_eu,1
-1::Promotion,msg-pam-promo,21
-1::Allowed Countries,AF,31
-1::Allowed Countries,ALL,72
-1::Allowed Countries,AR,31
-1::Allowed Countries,GG,15
-1::Allowed Countries,GI,16
-1::Allowed Countries,KH,16
-1::Allowed Countries,LI,15
-1::Allowed Countries,US,31
-1::Allowed Countries,ZA,31
-1::Is Sale SKU US,false,88
-1::Is Sale SKU US,true,20
-1::Lily Fabric,Cotton,31
-1::Lily Fabric,Corduroy,0
-1::Lily Fabric,Denim,0
-1::Lily Fabric,Acetate,0
-1::Lily Fabric,Acetate Material,4
-1::Lily Fabric,Acrylic,0
-1::Lily Fabric,Acrylic Material,14
-1::Lily Fabric,Alpaca,0
-1::Lily Fabric,Bouclé,0
-1::Lily Fabric,Brogue,0
-1::Lily Fabric,Cable Knit,0
-1::Lily Fabric,Caged Front,0
-1::Lily Fabric,Calf Hair,0
-1::Lily Fabric,Calfskin Leather,0
-1::Lily Fabric,Canvas,0
-1::Lily Fabric,Cashmere,5
-1::Lily Fabric,Chambray,0
-1::Lily Fabric,Charmeuse,3
-1::Lily Fabric,Chiffon,6
-1::Lily Fabric,Cloth,0
-1::Lily Fabric,Cork,0
-1::Lily Fabric,Cowhide,0
-1::Lily Fabric,Crepe,4
-1::Lily Fabric,Crinkled,2
-1::Lily Fabric,Crochet,0
-1::Lily Fabric,Cupro,6
-1::Lily Fabric,Down Alternative,0
-1::Lily Fabric,Egyptian Cotton,0
-1::Lily Fabric,Elastane,7
-1::Lily Fabric,Elasterell,0
-1::Lily Fabric,EVA,0
-1::Lily Fabric,Fabric,0
-1::Lily Fabric,Faux Fur,0
-1::Lily Fabric,Faux Leather Material,0
-1::Lily Fabric,Felt,0
-1::Lily Fabric,Flannel,0
-1::Lily Fabric,Fleece,0
-1::Lily Fabric,French Terry,0
-1::Lily Fabric,Fur,0
-1::Lily Fabric,Gauze,0
-1::Lily Fabric,Hemp,0
-1::Lily Fabric,Jersey,0
-1::Lily Fabric,Jute,0
-1::Lily Fabric,Knit,2
-1::Lily Fabric,Lace,2
-1::Lily Fabric,Lambskin,0
-1::Lily Fabric,Lame,0
-1::Lily Fabric,Latex,0
-1::Lily Fabric,Layered,0
-1::Lily Fabric,Leaf,0
-1::Lily Fabric,Leather,2
-1::Lily Fabric,Linen,4
-1::Lily Fabric,Linen Blend,0
-1::Lily Fabric,Lining Cotton,0
-1::Lily Fabric,Lining Polyester,0
-1::Lily Fabric,Lurex,0
-1::Lily Fabric,Lycra,0
-1::Lily Fabric,Lyocell,1
-1::Lily Fabric,Merino Wool Knit,0
-1::Lily Fabric,Mesh,1
-1::Lily Fabric,Metal,0
-1::Lily Fabric,Metallic,4
-1::Lily Fabric,Microfiber,0
-1::Lily Fabric,Microfleece,0
-1::Lily Fabric,Modal,0
-1::Lily Fabric,Muslin,0
-1::Lily Fabric,Neoprene,0
-1::Lily Fabric,Nubuck Leather,0
-1::Lily Fabric,Nylon,1
-1::Lily Fabric,Nylon Material,1
-1::Lily Fabric,Organic Cotton,3
-1::Lily Fabric,Organza,0
-1::Lily Fabric,Oxford,0
-1::Lily Fabric,Paper,0
-1::Lily Fabric,Patent,0
-1::Lily Fabric,Pima Cotton,0
-1::Lily Fabric,Plastic Material,0
-1::Lily Fabric,Polyamide,5
-1::Lily Fabric,Polyester,20
-1::Lily Fabric,Polyester Material,20
-1::Lily Fabric,Polyethylene,0
-1::Lily Fabric,Polypropylene,0
-1::Lily Fabric,Polypropylene Material,0
-1::Lily Fabric,Polyurethane,1
-1::Lily Fabric,Pony Hair,0
-1::Lily Fabric,Poplin,2
-1::Lily Fabric,Raffia,0
-1::Lily Fabric,Ramie,0
-1::Lily Fabric,Rattan,0
-1::Lily Fabric,Rayon,10
-1::Lily Fabric,Recycled Cotton,0
-1::Lily Fabric,Recycled Nylon,0
-1::Lily Fabric,Recycled Polyester,2
-1::Lily Fabric,Recycled Rubber,0
-1::Lily Fabric,Rubber,0
-1::Lily Fabric,Sateen,0
-1::Lily Fabric,Satin,5
-1::Lily Fabric,Scuba,0
-1::Lily Fabric,Seersucker,0
-1::Lily Fabric,Shearling,0
-1::Lily Fabric,Sheepskin,0
-1::Lily Fabric,Sheer,4
-1::Lily Fabric,Sherpa,0
-1::Lily Fabric,Silk,1
-1::Lily Fabric,Silk Knit,0
-1::Lily Fabric,Slub,0
-1::Lily Fabric,Smartwool,0
-1::Lily Fabric,Soft Wool,1
-1::Lily Fabric,Spandex,1
-1::Lily Fabric,Straw,0
-1::Lily Fabric,Suede,0
-1::Lily Fabric,Supima Cotton,0
-1::Lily Fabric,Swiss Dot,0
-1::Lily Fabric,Synthetic,0
-1::Lily Fabric,Tactel,0
-1::Lily Fabric,Taffeta,1
-1::Lily Fabric,Terry,0
-1::Lily Fabric,Textilene,0
-1::Lily Fabric,Triacetate,0
-1::Lily Fabric,Tulle,0
-1::Lily Fabric,Turkish Cotton,0
-1::Lily Fabric,Tweed,0
-1::Lily Fabric,Twill,4
-1::Lily Fabric,Velour,0
-1::Lily Fabric,Velvet,0
-1::Lily Fabric,Vinyl,0
-1::Lily Fabric,Viscose,24
-1::Lily Fabric,Voille,2
-1::Lily Fabric,Waffle Knit,0
-1::Lily Fabric,Wicker,0
-1::Lily Fabric,Wool,5
-1::Lily Fabric,Wool Blend,1
-1::Lily Fabric,Woven,1
-1::Lily Fabric,Woven Blend,0
-1::Lily Fabric,Yarn,0
