Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value,Counts
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.jcrew.com/browse/product_search?expand=variations%2Cavailability&count=60&start=0&refine=c_allowedCountries%3DALL%7CUS&refine_1=c_displayOn%3Dstandard_usd&refine_2=c_lilyColor%3Droot-black&refine_3=cgid%3Dwomens%7Ccategories%7Cclothing%7Cdresses-and-jumpsuits&refine_4=isAppExclusive%3Dfalse&country-code=US&seo-word-cloud-key=%2Fwomens%2Fcategories%2Fclothing%2Fdresses-and-jumpsuits%2Fcolor%3Droot-black,Color,Black,46.0
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.jcrew.com/browse/product_search?expand=variations%2Cavailability&count=60&start=0&refine=c_allowedCountries%3DALL%7CUS&refine_1=c_displayOn%3Dstandard_usd&refine_2=c_lilyColor%3Droot-blue&refine_3=cgid%3Dwomens%7Ccategories%7Cclothing%7Cdresses-and-jumpsuits&refine_4=isAppExclusive%3Dfalse&country-code=US&seo-word-cloud-key=%2Fwomens%2Fcategories%2Fclothing%2Fdresses-and-jumpsuits%2Fcolor%3Droot-blue,Color,Blue,10.0
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.jcrew.com/browse/product_search?expand=variations%2Cavailability&count=60&start=0&refine=c_allowedCountries%3DALL%7CUS&refine_1=c_displayOn%3Dstandard_usd&refine_2=c_lilyColor%3Droot-bronze&refine_3=cgid%3Dwomens%7Ccategories%7Cclothing%7Cdresses-and-jumpsuits&refine_4=isAppExclusive%3Dfalse&country-code=US&seo-word-cloud-key=%2Fwomens%2Fcategories%2Fclothing%2Fdresses-and-jumpsuits%2Fcolor%3Droot-bronze,Color,Bronze,0.0
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.jcrew.com/browse/product_search?expand=variations%2Cavailability&count=60&start=0&refine=c_allowedCountries%3DALL%7CUS&refine_1=c_displayOn%3Dstandard_usd&refine_2=c_lilyColor%3Droot-brown&refine_3=cgid%3Dwomens%7Ccategories%7Cclothing%7Cdresses-and-jumpsuits&refine_4=isAppExclusive%3Dfalse&country-code=US&seo-word-cloud-key=%2Fwomens%2Fcategories%2Fclothing%2Fdresses-and-jumpsuits%2Fcolor%3Droot-brown,Color,Brown,5.0
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.jcrew.com/browse/product_search?expand=variations%2Cavailability&count=60&start=0&refine=c_allowedCountries%3DALL%7CUS&refine_1=c_displayOn%3Dstandard_usd&refine_2=c_lilyColor%3Droot-copper&refine_3=cgid%3Dwomens%7Ccategories%7Cclothing%7Cdresses-and-jumpsuits&refine_4=isAppExclusive%3Dfalse&country-code=US&seo-word-cloud-key=%2Fwomens%2Fcategories%2Fclothing%2Fdresses-and-jumpsuits%2Fcolor%3Droot-copper,Color,Copper,0.0
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.jcrew.com/browse/product_search?expand=variations%2Cavailability&count=60&start=0&refine=c_allowedCountries%3DALL%7CUS&refine_1=c_displayOn%3Dstandard_usd&refine_2=c_lilyColor%3Droot-gold&refine_3=cgid%3Dwomens%7Ccategories%7Cclothing%7Cdresses-and-jumpsuits&refine_4=isAppExclusive%3Dfalse&country-code=US&seo-word-cloud-key=%2Fwomens%2Fcategories%2Fclothing%2Fdresses-and-jumpsuits%2Fcolor%3Droot-gold,Color,Gold,0.0
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.jcrew.com/browse/product_search?expand=variations%2Cavailability&count=60&start=0&refine=c_allowedCountries%3DALL%7CUS&refine_1=c_displayOn%3Dstandard_usd&refine_2=c_lilyColor%3Droot-gray&refine_3=cgid%3Dwomens%7Ccategories%7Cclothing%7Cdresses-and-jumpsuits&refine_4=isAppExclusive%3Dfalse&country-code=US&seo-word-cloud-key=%2Fwomens%2Fcategories%2Fclothing%2Fdresses-and-jumpsuits%2Fcolor%3Droot-gray,Color,Gray,4.0
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.jcrew.com/browse/product_search?expand=variations%2Cavailability&count=60&start=0&refine=c_allowedCountries%3DALL%7CUS&refine_1=c_displayOn%3Dstandard_usd&refine_2=c_lilyColor%3Droot-green&refine_3=cgid%3Dwomens%7Ccategories%7Cclothing%7Cdresses-and-jumpsuits&refine_4=isAppExclusive%3Dfalse&country-code=US&seo-word-cloud-key=%2Fwomens%2Fcategories%2Fclothing%2Fdresses-and-jumpsuits%2Fcolor%3Droot-green,Color,Green,8.0
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.jcrew.com/browse/product_search?expand=variations%2Cavailability&count=60&start=0&refine=c_allowedCountries%3DALL%7CUS&refine_1=c_displayOn%3Dstandard_usd&refine_2=c_lilyColor%3Droot-multicolor&refine_3=cgid%3Dwomens%7Ccategories%7Cclothing%7Cdresses-and-jumpsuits&refine_4=isAppExclusive%3Dfalse&country-code=US&seo-word-cloud-key=%2Fwomens%2Fcategories%2Fclothing%2Fdresses-and-jumpsuits%2Fcolor%3Droot-multicolor,Color,Multicolor,26.0
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.jcrew.com/browse/product_search?expand=variations%2Cavailability&count=60&start=0&refine=c_allowedCountries%3DALL%7CUS&refine_1=c_displayOn%3Dstandard_usd&refine_2=c_lilyColor%3Droot-navy&refine_3=cgid%3Dwomens%7Ccategories%7Cclothing%7Cdresses-and-jumpsuits&refine_4=isAppExclusive%3Dfalse&country-code=US&seo-word-cloud-key=%2Fwomens%2Fcategories%2Fclothing%2Fdresses-and-jumpsuits%2Fcolor%3Droot-navy,Color,Navy,16.0
