Attr_Name,Attr_Value,Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url
Occasion,Active & Sport,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.bloomingdales.com/xapi/discover/v1/page?pathname=/shop/womens-apparel/designer-dresses/Occasion/Active%20%26%20Sport&id=21683&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=1&_application=SITE&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=0195b3922e80006aab023fd734f005077008706f00992&visitorId=30630161747800883749173251732805630882&customerId=53a08e50-d5df-4c89-9522-67f63411c88d&_deviceType=DESKTOP&_customerState=GUEST
Occasion,Beach,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.bloomingdales.com/xapi/discover/v1/page?pathname=/shop/womens-apparel/designer-dresses/Occasion/Beach&id=21683&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=1&_application=SITE&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=0195b3922e80006aab023fd734f005077008706f00992&visitorId=30630161747800883749173251732805630882&customerId=53a08e50-d5df-4c89-9522-67f63411c88d&_deviceType=DESKTOP&_customerState=GUEST
Occasion,Bride to Be,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.bloomingdales.com/xapi/discover/v1/page?pathname=/shop/womens-apparel/designer-dresses/Occasion/Bride%20to%20Be&id=21683&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=1&_application=SITE&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=0195b3922e80006aab023fd734f005077008706f00992&visitorId=30630161747800883749173251732805630882&customerId=53a08e50-d5df-4c89-9522-67f63411c88d&_deviceType=DESKTOP&_customerState=GUEST
Occasion,Bridesmaid,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.bloomingdales.com/xapi/discover/v1/page?pathname=/shop/womens-apparel/designer-dresses/Occasion/Bridesmaid&id=21683&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=1&_application=SITE&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=0195b3922e80006aab023fd734f005077008706f00992&visitorId=30630161747800883749173251732805630882&customerId=53a08e50-d5df-4c89-9522-67f63411c88d&_deviceType=DESKTOP&_customerState=GUEST
Occasion,Casual,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.bloomingdales.com/xapi/discover/v1/page?pathname=/shop/womens-apparel/designer-dresses/Occasion/Casual&id=21683&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=1&_application=SITE&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=0195b3922e80006aab023fd734f005077008706f00992&visitorId=30630161747800883749173251732805630882&customerId=53a08e50-d5df-4c89-9522-67f63411c88d&_deviceType=DESKTOP&_customerState=GUEST
Occasion,Cocktail,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.bloomingdales.com/xapi/discover/v1/page?pathname=/shop/womens-apparel/designer-dresses/Occasion/Cocktail&id=21683&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=1&_application=SITE&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=0195b3922e80006aab023fd734f005077008706f00992&visitorId=30630161747800883749173251732805630882&customerId=53a08e50-d5df-4c89-9522-67f63411c88d&_deviceType=DESKTOP&_customerState=GUEST
Occasion,Day,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.bloomingdales.com/xapi/discover/v1/page?pathname=/shop/womens-apparel/designer-dresses/Occasion/Day&id=21683&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=1&_application=SITE&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=0195b3922e80006aab023fd734f005077008706f00992&visitorId=30630161747800883749173251732805630882&customerId=53a08e50-d5df-4c89-9522-67f63411c88d&_deviceType=DESKTOP&_customerState=GUEST
Occasion,Destination Weddings,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.bloomingdales.com/xapi/discover/v1/page?pathname=/shop/womens-apparel/designer-dresses/Occasion/Destination%20Weddings&id=21683&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=1&_application=SITE&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=0195b3922e80006aab023fd734f005077008706f00992&visitorId=30630161747800883749173251732805630882&customerId=53a08e50-d5df-4c89-9522-67f63411c88d&_deviceType=DESKTOP&_customerState=GUEST
Occasion,Evening & Formal,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.bloomingdales.com/xapi/discover/v1/page?pathname=/shop/womens-apparel/designer-dresses/Occasion/Evening%20%26%20Formal&id=21683&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=1&_application=SITE&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=0195b3922e80006aab023fd734f005077008706f00992&visitorId=30630161747800883749173251732805630882&customerId=53a08e50-d5df-4c89-9522-67f63411c88d&_deviceType=DESKTOP&_customerState=GUEST
Occasion,Garden Party,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.bloomingdales.com/xapi/discover/v1/page?pathname=/shop/womens-apparel/designer-dresses/Occasion/Garden%20Party&id=21683&_navigationType=BROWSE&_shoppingMode=SITE&sortBy=ORIGINAL&productsPerPage=60&pageIndex=1&_application=SITE&_regionCode=US&currencyCode=USD&size=medium&spItemsVersion=1.1&utagId=0195b3922e80006aab023fd734f005077008706f00992&visitorId=30630161747800883749173251732805630882&customerId=53a08e50-d5df-4c89-9522-67f63411c88d&_deviceType=DESKTOP&_customerState=GUEST
