Attr_Name,Attr_Value,Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url
Pick Up In-Store,10,Clothing,Women,Western,Bottomwear,Shorts,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-shorts/Upc_bops_purchasable/10&id=5344&xapi=1&_navigationType=BROWSE&_regionCode=US&currencyCode=USD&facetsOnly=true&_shoppingMode=SITE&spItemsVersion=1.1&utagId=0194836e38ce0002d6d827630db105075019e06d00992&visitorId=&_deviceType=DESKTOP&pageIndex=1&productsPerPage=60&sortBy=ORIGINAL
Short Style,Active,Clothing,Women,Western,Bottomwear,Shorts,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-shorts/Short_style/Active&id=5344&xapi=1&_navigationType=BROWSE&_regionCode=US&currencyCode=USD&facetsOnly=true&_shoppingMode=SITE&spItemsVersion=1.1&utagId=0194836e38ce0002d6d827630db105075019e06d00992&visitorId=&_deviceType=DESKTOP&pageIndex=1&productsPerPage=60&sortBy=ORIGINAL
Short Style,Bermuda,Clothing,Women,Western,Bottomwear,Shorts,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-shorts/Short_style/Bermuda&id=5344&xapi=1&_navigationType=BROWSE&_regionCode=US&currencyCode=USD&facetsOnly=true&_shoppingMode=SITE&spItemsVersion=1.1&utagId=0194836e38ce0002d6d827630db105075019e06d00992&visitorId=&_deviceType=DESKTOP&pageIndex=1&productsPerPage=60&sortBy=ORIGINAL
Short Style,Biker,Clothing,Women,Western,Bottomwear,Shorts,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-shorts/Short_style/Biker&id=5344&xapi=1&_navigationType=BROWSE&_regionCode=US&currencyCode=USD&facetsOnly=true&_shoppingMode=SITE&spItemsVersion=1.1&utagId=0194836e38ce0002d6d827630db105075019e06d00992&visitorId=&_deviceType=DESKTOP&pageIndex=1&productsPerPage=60&sortBy=ORIGINAL
Short Style,Cargo,Clothing,Women,Western,Bottomwear,Shorts,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-shorts/Short_style/Cargo&id=5344&xapi=1&_navigationType=BROWSE&_regionCode=US&currencyCode=USD&facetsOnly=true&_shoppingMode=SITE&spItemsVersion=1.1&utagId=0194836e38ce0002d6d827630db105075019e06d00992&visitorId=&_deviceType=DESKTOP&pageIndex=1&productsPerPage=60&sortBy=ORIGINAL
Short Style,Chino & Khaki,Clothing,Women,Western,Bottomwear,Shorts,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-shorts/Short_style/Chino%20%26%20Khaki&id=5344&xapi=1&_navigationType=BROWSE&_regionCode=US&currencyCode=USD&facetsOnly=true&_shoppingMode=SITE&spItemsVersion=1.1&utagId=0194836e38ce0002d6d827630db105075019e06d00992&visitorId=&_deviceType=DESKTOP&pageIndex=1&productsPerPage=60&sortBy=ORIGINAL
Short Style,High-Waisted,Clothing,Women,Western,Bottomwear,Shorts,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-shorts/Short_style/High-Waisted&id=5344&xapi=1&_navigationType=BROWSE&_regionCode=US&currencyCode=USD&facetsOnly=true&_shoppingMode=SITE&spItemsVersion=1.1&utagId=0194836e38ce0002d6d827630db105075019e06d00992&visitorId=&_deviceType=DESKTOP&pageIndex=1&productsPerPage=60&sortBy=ORIGINAL
Short Style,Jean & Denim,Clothing,Women,Western,Bottomwear,Shorts,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-shorts/Short_style/Jean%20%26%20Denim&id=5344&xapi=1&_navigationType=BROWSE&_regionCode=US&currencyCode=USD&facetsOnly=true&_shoppingMode=SITE&spItemsVersion=1.1&utagId=0194836e38ce0002d6d827630db105075019e06d00992&visitorId=&_deviceType=DESKTOP&pageIndex=1&productsPerPage=60&sortBy=ORIGINAL
Short Style,Linen,Clothing,Women,Western,Bottomwear,Shorts,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-shorts/Short_style/Linen&id=5344&xapi=1&_navigationType=BROWSE&_regionCode=US&currencyCode=USD&facetsOnly=true&_shoppingMode=SITE&spItemsVersion=1.1&utagId=0194836e38ce0002d6d827630db105075019e06d00992&visitorId=&_deviceType=DESKTOP&pageIndex=1&productsPerPage=60&sortBy=ORIGINAL
Short Style,Maternity,Clothing,Women,Western,Bottomwear,Shorts,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-shorts/Short_style/Maternity&id=5344&xapi=1&_navigationType=BROWSE&_regionCode=US&currencyCode=USD&facetsOnly=true&_shoppingMode=SITE&spItemsVersion=1.1&utagId=0194836e38ce0002d6d827630db105075019e06d00992&visitorId=&_deviceType=DESKTOP&pageIndex=1&productsPerPage=60&sortBy=ORIGINAL
Short Style,Pleated,Clothing,Women,Western,Bottomwear,Shorts,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-shorts/Short_style/Pleated&id=5344&xapi=1&_navigationType=BROWSE&_regionCode=US&currencyCode=USD&facetsOnly=true&_shoppingMode=SITE&spItemsVersion=1.1&utagId=0194836e38ce0002d6d827630db105075019e06d00992&visitorId=&_deviceType=DESKTOP&pageIndex=1&productsPerPage=60&sortBy=ORIGINAL
Short Style,Pull On,Clothing,Women,Western,Bottomwear,Shorts,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-shorts/Short_style/Pull%20On&id=5344&xapi=1&_navigationType=BROWSE&_regionCode=US&currencyCode=USD&facetsOnly=true&_shoppingMode=SITE&spItemsVersion=1.1&utagId=0194836e38ce0002d6d827630db105075019e06d00992&visitorId=&_deviceType=DESKTOP&pageIndex=1&productsPerPage=60&sortBy=ORIGINAL
Short Style,Romper,Clothing,Women,Western,Bottomwear,Shorts,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-shorts/Short_style/Romper&id=5344&xapi=1&_navigationType=BROWSE&_regionCode=US&currencyCode=USD&facetsOnly=true&_shoppingMode=SITE&spItemsVersion=1.1&utagId=0194836e38ce0002d6d827630db105075019e06d00992&visitorId=&_deviceType=DESKTOP&pageIndex=1&productsPerPage=60&sortBy=ORIGINAL
Short Style,Short Shorts,Clothing,Women,Western,Bottomwear,Shorts,https://www.macys.com/xapi/discover/v1/page?pathname=/shop/womens-clothing/all-womens-clothing/womens-shorts/Short_style/Short%20Shorts&id=5344&xapi=1&_navigationType=BROWSE&_regionCode=US&currencyCode=USD&facetsOnly=true&_shoppingMode=SITE&spItemsVersion=1.1&utagId=0194836e38ce0002d6d827630db105075019e06d00992&visitorId=&_deviceType=DESKTOP&pageIndex=1&productsPerPage=60&sortBy=ORIGINAL
