Attr_Name,Attr_Value
Color,Black
Color,Blue
Color,Brown
Color,Gold
Color,Gray
Color,Green
Color,Ivory/Cream
Color,Multi
Color,Orange
Color,Pink
Color,Purple
Color,Red
Color,Silver
Color,Tan/Beige
Color,White
Color,Yellow
Occasion,Active
Occasion,Active & Workout
Occasion,Baby Shower
Occasion,Back to School
Occasion,Bridesmaid
Occasion,Casual
Occasion,Day
Occasion,Evening
Occasion,Fall
Occasion,Formal
Occasion,Going Out
Occasion,Graduation
Occasion,Holiday
Occasion,Homecoming
Occasion,Mother of the Bride or Groom
Occasion,Mother's Day
Occasion,New Year's Eve
Occasion,Outdoor
Occasion,Party
Occasion,Party/Cocktail
Occasion,Patriotic
Occasion,Prom
Occasion,Special Occasion
Occasion,Sports
Occasion,Spring
Occasion,Summer
Occasion,Vacation
Occasion,Valentine's Day
Occasion,Wedding
Occasion,Wedding Dress
Occasion,Wedding Guest
Occasion,Winter
Occasion,Work
Dress & Skirt Length,Mini
Dress & Skirt Length,Knee Length
Dress & Skirt Length,High Low
Dress & Skirt Length,Long
Dress & Skirt Length,Midi
Dress & Skirt Length,Short/Above The Knee
Sleeve Length,Sleeveless
Sleeve Length,Short Sleeve
Sleeve Length,3/4 Sleeve
Sleeve Length,Long Sleeve
Dress Style,A Line
Dress Style,Ball Gowns
Dress Style,Body-Con
Dress Style,Boho
Dress Style,Corset
Dress Style,Cutout
Dress Style,Denim
Dress Style,Embellished/Sequin
Dress Style,Fit & Flare
Dress Style,Floral
Dress Style,Jacket Dress
Dress Style,Lace
Dress Style,Little Black Dress
Dress Style,Maternity
Dress Style,Maxi
Dress Style,Ruffle
Dress Style,Sequined
Dress Style,Sheath
Dress Style,Shift
Dress Style,Shirt Dress
Dress Style,Slip Dress
Dress Style,Slit
Dress Style,Smocked
Dress Style,Sundress
Dress Style,Sweater Dress
Dress Style,T-Shirt
Dress Style,Two Piece
Dress Style,Velvet
Dress Style,Wedding Dress
Dress Style,Wrap
Age Group,Adult
Age Group,Teen
Neckline,Boat Neck
Neckline,Collared
Neckline,Cowl Neck
Neckline,Crew Neck
Neckline,Halter
Neckline,Hooded
Neckline,Keyhole
Neckline,Mock Neck
Neckline,Off the Shoulder
Neckline,One Shoulder
Neckline,Open Front
Neckline,Scoop Neck
Neckline,Shawl
Neckline,Square
Neckline,Strapless
Neckline,Sweetheart
Neckline,Turtleneck
Neckline,V-Neck
Pattern,Animal Print
Pattern,Cable Knit
Pattern,Camo
Pattern,Cheetah Print
Pattern,Colorblock
Pattern,Dots
Pattern,Embroidered
Pattern,Fair Isle
Pattern,Floral
Pattern,Geometric
Pattern,Gingham
Pattern,Graphic
Pattern,Houndstooth
Pattern,Leopard Print
Pattern,Logo
Pattern,Metallic
Pattern,Multi
Pattern,Neutrals
Pattern,Paisley
Pattern,Plaid
Pattern,Print
Pattern,Solid
Pattern,Stripe
Pattern,Textured
Pattern,Tie Dye
Pattern,Tropical
Customer's Top Rated,5 stars
Customer's Top Rated,4 stars & up
Customer's Top Rated,3 stars & up
