Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value,Counts
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.marksandspencer.com/us/l/women/dresses-and-jumpsuits/?fhAbTestParam=&isAjax=true&fhParams=fh_view_size=36&fh_merch_group=north_america&fh_view=lister&fh_refpath=948800e5-a62a-4d25-ab88-d1de4cdc7ec5&fh_country=us&fh_refview=lister&fh_reffacet=productstyle&fh_location=%2f%2froot%2fen_US%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001%7d%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001_euzzzzsubcategoryzzzz1002041%7d%2fproductdefinition%3e%7bdresses%7d%2fproductstyle%3e%7bwaisteddress%7d,productstyle,Waisted dress,(40)
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.marksandspencer.com/us/l/women/dresses-and-jumpsuits/?fhAbTestParam=&isAjax=true&fhParams=fh_view_size=36&fh_merch_group=north_america&fh_view=lister&fh_refpath=948800e5-a62a-4d25-ab88-d1de4cdc7ec5&fh_country=us&fh_refview=lister&fh_reffacet=productstyle&fh_location=%2f%2froot%2fen_US%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001%7d%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001_euzzzzsubcategoryzzzz1002041%7d%2fproductdefinition%3e%7bdresses%7d%2fproductstyle%3e%7bwaisteddress%7d,productstyle,Waisted dress,(40)
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.marksandspencer.com/us/l/women/dresses-and-jumpsuits/?fhAbTestParam=&isAjax=true&fhParams=fh_view_size=36&fh_merch_group=north_america&fh_view=lister&fh_refpath=948800e5-a62a-4d25-ab88-d1de4cdc7ec5&fh_country=us&fh_refview=lister&fh_reffacet=productstyle&fh_location=%2f%2froot%2fen_US%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001%7d%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001_euzzzzsubcategoryzzzz1002041%7d%2fproductdefinition%3e%7bdresses%7d%2fproductstyle%3e%7bcolumndress%7d,productstyle,Column dress,(39)
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.marksandspencer.com/us/l/women/dresses-and-jumpsuits/?fhAbTestParam=&isAjax=true&fhParams=fh_view_size=36&fh_merch_group=north_america&fh_view=lister&fh_refpath=948800e5-a62a-4d25-ab88-d1de4cdc7ec5&fh_country=us&fh_refview=lister&fh_reffacet=productstyle&fh_location=%2f%2froot%2fen_US%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001%7d%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001_euzzzzsubcategoryzzzz1002041%7d%2fproductdefinition%3e%7bdresses%7d%2fproductstyle%3e%7bshiftdress%7d,productstyle,Shift dress,(22)
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.marksandspencer.com/us/l/women/dresses-and-jumpsuits/?fhAbTestParam=&isAjax=true&fhParams=fh_view_size=36&fh_merch_group=north_america&fh_view=lister&fh_refpath=948800e5-a62a-4d25-ab88-d1de4cdc7ec5&fh_country=us&fh_refview=lister&fh_reffacet=productstyle&fh_location=%2f%2froot%2fen_US%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001%7d%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001_euzzzzsubcategoryzzzz1002041%7d%2fproductdefinition%3e%7bdresses%7d%2fproductstyle%3e%7bbodycondress%7d,productstyle,Bodycon dress,(15)
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.marksandspencer.com/us/l/women/dresses-and-jumpsuits/?fhAbTestParam=&isAjax=true&fhParams=fh_view_size=36&fh_merch_group=north_america&fh_view=lister&fh_refpath=948800e5-a62a-4d25-ab88-d1de4cdc7ec5&fh_country=us&fh_refview=lister&fh_reffacet=productstyle&fh_location=%2f%2froot%2fen_US%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001%7d%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001_euzzzzsubcategoryzzzz1002041%7d%2fproductdefinition%3e%7bdresses%7d%2fproductstyle%3e%7bshirtdress%7d,productstyle,Shirt dress,(14)
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.marksandspencer.com/us/l/women/dresses-and-jumpsuits/?fhAbTestParam=&isAjax=true&fhParams=fh_view_size=36&fh_merch_group=north_america&fh_view=lister&fh_refpath=948800e5-a62a-4d25-ab88-d1de4cdc7ec5&fh_country=us&fh_refview=lister&fh_reffacet=productstyle&fh_location=%2f%2froot%2fen_US%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001%7d%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001_euzzzzsubcategoryzzzz1002041%7d%2fproductdefinition%3e%7bdresses%7d%2fproductstyle%3e%7bslipdress%7d,productstyle,Slip dress,(13)
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.marksandspencer.com/us/l/women/dresses-and-jumpsuits/?fhAbTestParam=&isAjax=true&fhParams=fh_view_size=36&fh_merch_group=north_america&fh_view=lister&fh_refpath=948800e5-a62a-4d25-ab88-d1de4cdc7ec5&fh_country=us&fh_refview=lister&fh_reffacet=productstyle&fh_location=%2f%2froot%2fen_US%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001%7d%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001_euzzzzsubcategoryzzzz1002041%7d%2fproductdefinition%3e%7bdresses%7d%2fproductstyle%3e%7bteadress%7d,productstyle,Tea dress,(13)
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.marksandspencer.com/us/l/women/dresses-and-jumpsuits/?fhAbTestParam=&isAjax=true&fhParams=fh_view_size=36&fh_merch_group=north_america&fh_view=lister&fh_refpath=948800e5-a62a-4d25-ab88-d1de4cdc7ec5&fh_country=us&fh_refview=lister&fh_reffacet=productstyle&fh_location=%2f%2froot%2fen_US%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001%7d%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001_euzzzzsubcategoryzzzz1002041%7d%2fproductdefinition%3e%7bdresses%7d%2fproductstyle%3e%7btiereddress%7d,productstyle,Tiered dress,(12)
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.marksandspencer.com/us/l/women/dresses-and-jumpsuits/?fhAbTestParam=&isAjax=true&fhParams=fh_view_size=36&fh_merch_group=north_america&fh_view=lister&fh_refpath=948800e5-a62a-4d25-ab88-d1de4cdc7ec5&fh_country=us&fh_refview=lister&fh_reffacet=productstyle&fh_location=%2f%2froot%2fen_US%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001%7d%2fcategories%3c%7broot_euzzzzsczzzzlevelzzzz1zzzz1000001_euzzzzsubcategoryzzzz1002041%7d%2fproductdefinition%3e%7bdresses%7d%2fproductstyle%3e%7bbeachdress%7d,productstyle,Beach dress,(8)
