Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Color=Black,Color,Black
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Color=Gray,Color,Gray
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Color=White,Color,White
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Color=Neutral,Color,Neutral
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Color=Silver,Color,Silver
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Color=Gold,Color,Gold
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Color=Yellow,Color,Yellow
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Color=Red,Color,Red
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Color=Pink,Color,Pink
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Color=Brown,Color,Brown
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Color=Green,Color,Green
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Color=Blue,Color,Blue
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Color=Purple,Color,Purple
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Color=Orange,Color,Orange
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Color=Pattern,Color,Pattern
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Length=Hi-Low & Asymmetrical,Length,Hi-Low & Asymmetrical
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Length=Knee,Length,Knee
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Length=Long,Length,Long
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Length=Midi,Length,Midi
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Length=Mini/Short,Length,Mini/Short
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Sleeve Length=3/4 Sleeve,Sleeve Length,3/4 Sleeve
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Sleeve Length=Long Sleeve,Sleeve Length,Long Sleeve
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Sleeve Length=Short Sleeve,Sleeve Length,Short Sleeve
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Sleeve Length=Sleeveless,Sleeve Length,Sleeveless
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&dressStyle=A-Line,dressStyle,A-Line
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&dressStyle=Bodycon,dressStyle,Bodycon
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&dressStyle=Empire,dressStyle,Empire
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&dressStyle=Fit & Flare,dressStyle,Fit & Flare
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&dressStyle=Gown,dressStyle,Gown
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&dressStyle=Maxi,dressStyle,Maxi
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&dressStyle=Sheath,dressStyle,Sheath
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&dressStyle=Shift,dressStyle,Shift
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&dressStyle=Shirt,dressStyle,Shirt
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&dressStyle=Slip,dressStyle,Slip
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&dressStyle=Wrap,dressStyle,Wrap
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Occasion=Active,Occasion,Active
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Occasion=Beach,Occasion,Beach
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Occasion=Cocktail,Occasion,Cocktail
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Occasion=Daytime,Occasion,Daytime
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Occasion=Formal,Occasion,Formal
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Occasion=Night Out,Occasion,Night Out
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Occasion=Work,Occasion,Work
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Occasion=Performance SKI,Occasion,Performance SKI
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Neckline=Asymmetric,Neckline,Asymmetric
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Neckline=Asymmetrical,Neckline,Asymmetrical
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Neckline=Cold Shoulder,Neckline,Cold Shoulder
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Neckline=Collared,Neckline,Collared
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Neckline=Cowl,Neckline,Cowl
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Neckline=Crew,Neckline,Crew
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Neckline=Halter,Neckline,Halter
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Neckline=High-Neck & Boat,Neckline,High-Neck & Boat
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Neckline=Mock Neck,Neckline,Mock Neck
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Neckline=Off Shoulder,Neckline,Off Shoulder
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Neckline=One Shoulder,Neckline,One Shoulder
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Neckline=One/Off Shoulder,Neckline,One/Off Shoulder
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Neckline=Scoop,Neckline,Scoop
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Neckline=Square,Neckline,Square
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Neckline=Strapless,Neckline,Strapless
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Neckline=Sweetheart,Neckline,Sweetheart
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Neckline=Turtleneck,Neckline,Turtleneck
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Neckline=V-Neck,Neckline,V-Neck
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Trends=Crochet,Trends,Crochet
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Trends=Embellishment,Trends,Embellishment
Women,Clothing,Western,Dresses and Jumpsuits,Dresses,https://www.neimanmarcus.com/c/womens-clothing-clothing-dresses-cat43810733?navpath=cat000000_cat000001_cat58290731_cat43810733&page=-0&Trends=Floral,Trends,Floral
