Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Women,Clothing,Western,Topwear,Blouses,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Silhouette - Top=Blouse,__,__
Women,Clothing,Western,Topwear,Shirts,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Silhouette - Top=Button Down,Type,Button Down
Women,Clothing,Western,Topwear,T-Shirts,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Silhouette - Top=Polo,Type,Polo
Women,Clothing,Western,Topwear,T-Shirts,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Silhouette - Top=T-Shirt,__,__
Women,Clothing,Western,Topwear,Tops,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Sleeve Length=3/4 Sleeve,Sleeve Length,3/4 Sleeve
Women,Clothing,Western,Topwear,Tops,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Sleeve Length=Long Sleeve,Sleeve Length,Long Sleeve
Women,Clothing,Western,Topwear,Tops,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Sleeve Length=Short Sleeve,Sleeve Length,Short Sleeve
Women,Clothing,Western,Topwear,Tops,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Sleeve Length=Sleeveless,Sleeve Length,Sleeveless
Women,Clothing,Western,Topwear,Tops,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Color=Black,Color,Black
Women,Clothing,Western,Topwear,Tops,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Color=Gray,Color,Gray
Women,Clothing,Western,Topwear,Tops,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Color=White,Color,White
Women,Clothing,Western,Topwear,Tops,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Color=Neutral,Color,Neutral
Women,Clothing,Western,Topwear,Tops,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Color=Silver,Color,Silver
Women,Clothing,Western,Topwear,Tops,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Color=Gold,Color,Gold
Women,Clothing,Western,Topwear,Tops,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Color=Yellow,Color,Yellow
Women,Clothing,Western,Topwear,Tops,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Color=Red,Color,Red
Women,Clothing,Western,Topwear,Tops,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Color=Pink,Color,Pink
Women,Clothing,Western,Topwear,Tops,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Color=Brown,Color,Brown
Women,Clothing,Western,Topwear,Tops,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Color=Green,Color,Green
Women,Clothing,Western,Topwear,Tops,https://www.neimanmarcus.com/c/womens-clothing-clothing-tops-cat42960827?navpath=cat000000_cat000001_cat58290731_cat42960827&page=-0&Color=Blue,Color,Blue
