Attr_Name,Attr_Value
Color,Animal print
Color,Black
Color,Blue
Color,Brown
Color,Burgundy
Color,Cream
Color,Ecru
Color,Gold
Color,Gray
Color,Green
Color,Ivory
Color,Metallic
Color,Multi
Color,Neutrals
Color,Off-white
Color,Orange
Color,Pink
Color,Purple
Color,Red
Color,Silver
Color,White
Color,Yellow
Fabric,Alpaca
Fabric,Cashmere
Fabric,Chiffon
Fabric,Cotton
Fabric,Crepe
Fabric,Denim
Fabric,Jersey
Fabric,Lace
Fabric,Leather
Fabric,Linen
Fabric,Mohair
Fabric,Satin
Fabric,Sequined
Fabric,Silk
Fabric,Suede
Fabric,Taffeta
Fabric,Tulle
Fabric,Velour
Fabric,Velvet
Fabric,Wool
Sleeves,Long Sleeved
Sleeves,Puff Sleeve
Sleeves,Short Sleeved
Sleeves,Sleeveless
Sleeves,Strapless
Print,Logo
Print,Print
Print,Solid Color
