Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Animal+print%22,Color,Animal print
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Black%22,Color,Black
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Blue%22,Color,Blue
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Brown%22,Color,Brown
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Burgundy%22,Color,Burgundy
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Cream%22,Color,Cream
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Ecru%22,Color,Ecru
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Gold%22,Color,Gold
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Gray%22,Color,Gray
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Green%22,Color,Green
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Ivory%22,Color,Ivory
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Metallic%22,Color,Metallic
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Multi%22,Color,Multi
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Neutrals%22,Color,Neutrals
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Off-white%22,Color,Off-white
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Orange%22,Color,Orange
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Pink%22,Color,Pink
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Purple%22,Color,Purple
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Red%22,Color,Red
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Silver%22,Color,Silver
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22White%22,Color,White
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f11503_ntk_cs%3A%22Yellow%22,Color,Yellow
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f10003_ntk_cs%3A%2216ARLINGTON%22,Designer,16ARLINGTON
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f10003_ntk_cs%3A%22ACNE+STUDIOS%22,Designer,ACNE STUDIOS
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f10003_ntk_cs%3A%22ADIDAS+BY+STELLA+MCCARTNEY%22,Designer,ADIDAS BY STELLA MCCARTNEY
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f10003_ntk_cs%3A%22ADIDAS+ORIGINALS%22,Designer,ADIDAS ORIGINALS
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f10003_ntk_cs%3A%22AGOLDE%22,Designer,AGOLDE
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f10003_ntk_cs%3A%22ALA%C3%8FA%22,Designer,ALAÏA
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f10003_ntk_cs%3A%22ALESSANDRA+RICH%22,Designer,ALESSANDRA RICH
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f10003_ntk_cs%3A%22ALEX+PERRY%22,Designer,ALEX PERRY
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f10003_ntk_cs%3A%22ALEXANDER+MCQUEEN%22,Designer,ALEXANDER MCQUEEN
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f10003_ntk_cs%3A%22ALIX+OF+BOHEMIA%22,Designer,ALIX OF BOHEMIA
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f10003_ntk_cs%3A%22ALO+YOGA%22,Designer,ALO YOGA
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f10003_ntk_cs%3A%22ALTUZARRA%22,Designer,ALTUZARRA
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f10003_ntk_cs%3A%22AMI+PARIS%22,Designer,AMI PARIS
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f10003_ntk_cs%3A%22ANINE+BING%22,Designer,ANINE BING
Clothing,Women,Western,Outerwear,Jackets and Coats,https://www.net-a-porter.com/en-us/shop/clothing/coats-and-jackets?facet=ads_f10003_ntk_cs%3A%22ANOTHER+TOMORROW%22,Designer,ANOTHER TOMORROW
