Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f38003_ntk_cs%3A%22Bridal%22,Shop By Occasion,Bridal
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f38003_ntk_cs%3A%22Evening%22,Shop By Occasion,Evening
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f38003_ntk_cs%3A%22Wedding+Guest%22,Shop By Occasion,Wedding Guest
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f38003_ntk_cs%3A%22Vacation%22,Shop By Occasion,Vacation
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f38003_ntk_cs%3A%22Party%22,Shop By Occasion,Party
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f38003_ntk_cs%3A%22Date+Night%22,Shop By Occasion,Date Night
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f38003_ntk_cs%3A%22Workwear%22,Shop By Occasion,Workwear
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f18503_ntk_cs%3A%22Asymmetric+Dresses%22,Dresses Style,Asymmetric Dresses
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f18503_ntk_cs%3A%22Bodycon+Dresses%22,Dresses Style,Bodycon Dresses
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f18503_ntk_cs%3A%22Cutout+Dresses%22,Dresses Style,Cutout Dresses
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f18503_ntk_cs%3A%22Day+Dresses%22,Dresses Style,Day Dresses
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f18503_ntk_cs%3A%22Floral+Dresses%22,Dresses Style,Floral Dresses
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f18503_ntk_cs%3A%22Kaftan+Dresses%22,Dresses Style,Kaftan Dresses
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f18503_ntk_cs%3A%22Knit+Dresses%22,Dresses Style,Knit Dresses
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f18503_ntk_cs%3A%22Modest+Dresses%22,Dresses Style,Modest Dresses
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f18503_ntk_cs%3A%22Off+the+Shoulder+Dresses%22,Dresses Style,Off the Shoulder Dresses
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f18503_ntk_cs%3A%22Open+Back+Dresses%22,Dresses Style,Open Back Dresses
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f18503_ntk_cs%3A%22Shirt+Dresses%22,Dresses Style,Shirt Dresses
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f18503_ntk_cs%3A%22Slip+Dresses%22,Dresses Style,Slip Dresses
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f18503_ntk_cs%3A%22Statement+Dresses%22,Dresses Style,Statement Dresses
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f18503_ntk_cs%3A%22Wrap+Dresses%22,Dresses Style,Wrap Dresses
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Animal+print%22,Color,Animal print
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Black%22,Color,Black
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Blue%22,Color,Blue
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Brown%22,Color,Brown
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Burgundy%22,Color,Burgundy
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Cream%22,Color,Cream
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Ecru%22,Color,Ecru
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Gold%22,Color,Gold
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Gray%22,Color,Gray
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Green%22,Color,Green
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Ivory%22,Color,Ivory
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Metallic%22,Color,Metallic
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Multi%22,Color,Multi
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Neutrals%22,Color,Neutrals
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Off-white%22,Color,Off-white
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Orange%22,Color,Orange
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Pink%22,Color,Pink
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Purple%22,Color,Purple
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Red%22,Color,Red
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Rose+gold%22,Color,Rose gold
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Silver%22,Color,Silver
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22White%22,Color,White
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f11503_ntk_cs%3A%22Yellow%22,Color,Yellow
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Alpaca%22,Fabric,Alpaca
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Bamboo%22,Fabric,Bamboo
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Cashmere%22,Fabric,Cashmere
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Chiffon%22,Fabric,Chiffon
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Cotton%22,Fabric,Cotton
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Crepe%22,Fabric,Crepe
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Denim%22,Fabric,Denim
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Faux+Fur+and+Shearling%22,Fabric,Faux Fur and Shearling
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Faux+Leather%22,Fabric,Faux Leather
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Flannel%22,Fabric,Flannel
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Jersey%22,Fabric,Jersey
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Lace%22,Fabric,Lace
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Leather%22,Fabric,Leather
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Linen%22,Fabric,Linen
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Mohair%22,Fabric,Mohair
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Satin%22,Fabric,Satin
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Sequined%22,Fabric,Sequined
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Silk%22,Fabric,Silk
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Suede%22,Fabric,Suede
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Taffeta%22,Fabric,Taffeta
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Tulle%22,Fabric,Tulle
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Velour%22,Fabric,Velour
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Velvet%22,Fabric,Velvet
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10510_ntk_cs%3A%22Wool%22,Fabric,Wool
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10003_ntk_cs%3A%2216ARLINGTON%22,Designer,16ARLINGTON
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10003_ntk_cs%3A%22A.L.C.%22,Designer,A.L.C.
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10003_ntk_cs%3A%22A.W.A.K.E.+MODE%22,Designer,A.W.A.K.E. MODE
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://www.net-a-porter.com/en-us/shop/clothing/dresses?facet=ads_f10003_ntk_cs%3A%22ABADIA%22,Designer,ABADIA
