Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f18004_ntk_cs%3A%22Asymmetric%22,Tops Style,Asymmetric
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f18004_ntk_cs%3A%22Classic%22,Tops Style,Classic
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f18004_ntk_cs%3A%22Cutout%22,Tops Style,Cutout
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f18004_ntk_cs%3A%22Embellished%22,Tops Style,Embellished
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f18004_ntk_cs%3A%22Graphic+and+Logo%22,Tops Style,Graphic and Logo
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f18004_ntk_cs%3A%22Halterneck%22,Tops Style,Halterneck
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f18004_ntk_cs%3A%22Hoodie%22,Tops Style,Hoodie
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f18004_ntk_cs%3A%22Knit%22,Tops Style,Knit
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f18004_ntk_cs%3A%22Modest%22,Tops Style,Modest
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f18004_ntk_cs%3A%22Off+the+Shoulder%22,Tops Style,Off the Shoulder
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f18004_ntk_cs%3A%22Oversized%22,Tops Style,Oversized
Clothing,Women,Western,Topwear,Shirts,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f18004_ntk_cs%3A%22Polo+Shirt%22,Tops Style,Polo Shirt
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f18004_ntk_cs%3A%22Ruffled%22,Tops Style,Ruffled
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f18004_ntk_cs%3A%22Statement%22,Tops Style,Statement
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f18004_ntk_cs%3A%22Tie+Front%22,Tops Style,Tie Front
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f18004_ntk_cs%3A%22V+Neck%22,Tops Style,V Neck
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f18004_ntk_cs%3A%22Wrap%22,Tops Style,Wrap
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f18004_ntk_cs%3A%22Zip+Up%22,Tops Style,Zip Up
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f12007_ntk_cs%3A%22Long+Sleeved%22,Sleeves,Long Sleeved
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f12007_ntk_cs%3A%22Puff+Sleeve%22,Sleeves,Puff Sleeve
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f12007_ntk_cs%3A%22Short+Sleeved%22,Sleeves,Short Sleeved
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f12007_ntk_cs%3A%22Sleeveless%22,Sleeves,Sleeveless
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f12007_ntk_cs%3A%22Strapless%22,Sleeves,Strapless
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Animal+print%22,Color,Animal print
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Black%22,Color,Black
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Blue%22,Color,Blue
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Brown%22,Color,Brown
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Burgundy%22,Color,Burgundy
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Cream%22,Color,Cream
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Ecru%22,Color,Ecru
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Gold%22,Color,Gold
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Gray%22,Color,Gray
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Green%22,Color,Green
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Ivory%22,Color,Ivory
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Metallic%22,Color,Metallic
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Multi%22,Color,Multi
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Neutrals%22,Color,Neutrals
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Off-white%22,Color,Off-white
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Orange%22,Color,Orange
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Pink%22,Color,Pink
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Purple%22,Color,Purple
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Red%22,Color,Red
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Silver%22,Color,Silver
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22White%22,Color,White
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Yellow%22,Color,Yellow
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Alpaca%22,Fabric,Alpaca
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Cashmere%22,Fabric,Cashmere
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Chiffon%22,Fabric,Chiffon
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Cotton%22,Fabric,Cotton
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Crepe%22,Fabric,Crepe
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Denim%22,Fabric,Denim
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Faux+Fur+and+Shearling%22,Fabric,Faux Fur and Shearling
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Faux+Leather%22,Fabric,Faux Leather
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Flannel%22,Fabric,Flannel
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Jersey%22,Fabric,Jersey
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Lace%22,Fabric,Lace
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Leather%22,Fabric,Leather
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Linen%22,Fabric,Linen
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Satin%22,Fabric,Satin
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Sequined%22,Fabric,Sequined
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Silk%22,Fabric,Silk
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Suede%22,Fabric,Suede
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Taffeta%22,Fabric,Taffeta
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Tulle%22,Fabric,Tulle
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Velour%22,Fabric,Velour
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Velvet%22,Fabric,Velvet
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Wool%22,Fabric,Wool
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10003_ntk_cs%3A%2216ARLINGTON%22,Designer,16ARLINGTON
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10003_ntk_cs%3A%22ABADIA%22,Designer,ABADIA
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10003_ntk_cs%3A%22ACNE+STUDIOS%22,Designer,ACNE STUDIOS
