Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Topwear,Blouses,https://www.net-a-porter.com/en-us/shop/clothing/clothing/tops/blouses,__,__
Clothing,Women,Western,Topwear,Bodysuits,https://www.net-a-porter.com/en-us/shop/clothing/clothing/tops/bodysuits,__,__
Clothing,Women,Western,Topwear,Shirts,https://www.net-a-porter.com/en-us/shop/clothing/clothing/tops/polo-shirts,Type,Polo
Clothing,Women,Western,Topwear,Shirts,https://www.net-a-porter.com/en-us/shop/clothing/clothing/tops/shirts,__,__
Clothing,Women,Western,Topwear,T-Shirts,https://www.net-a-porter.com/en-us/shop/clothing/clothing/tops/t-shirts,__,__
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f12007_ntk_cs%3A%22Long+Sleeved%22,Sleeves,Long Sleeved
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f12007_ntk_cs%3A%22Puff+Sleeve%22,Sleeves,Puff Sleeve
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f12007_ntk_cs%3A%22Short+Sleeved%22,Sleeves,Short Sleeved
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f12007_ntk_cs%3A%22Sleeveless%22,Sleeves,Sleeveless
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f12007_ntk_cs%3A%22Strapless%22,Sleeves,Strapless
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Animal+print%22,Color,Animal print
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Black%22,Color,Black
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Blue%22,Color,Blue
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Brown%22,Color,Brown
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Burgundy%22,Color,Burgundy
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Cream%22,Color,Cream
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Ecru%22,Color,Ecru
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Gold%22,Color,Gold
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Gray%22,Color,Gray
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Green%22,Color,Green
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Ivory%22,Color,Ivory
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Metallic%22,Color,Metallic
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Multi%22,Color,Multi
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Neutrals%22,Color,Neutrals
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Off-white%22,Color,Off-white
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Orange%22,Color,Orange
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Pink%22,Color,Pink
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Purple%22,Color,Purple
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Red%22,Color,Red
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Silver%22,Color,Silver
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Unknown%22,Color,Unknown
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22White%22,Color,White
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f11503_ntk_cs%3A%22Yellow%22,Color,Yellow
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Alpaca%22,Fabric,Alpaca
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Bamboo%22,Fabric,Bamboo
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Cashmere%22,Fabric,Cashmere
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Chiffon%22,Fabric,Chiffon
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Cotton%22,Fabric,Cotton
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Crepe%22,Fabric,Crepe
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Denim%22,Fabric,Denim
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Faux+Fur+and+Shearling%22,Fabric,Faux Fur and Shearling
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Faux+Leather%22,Fabric,Faux Leather
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Flannel%22,Fabric,Flannel
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Jersey%22,Fabric,Jersey
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Lace%22,Fabric,Lace
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Leather%22,Fabric,Leather
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Linen%22,Fabric,Linen
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Satin%22,Fabric,Satin
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Sequined%22,Fabric,Sequined
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Silk%22,Fabric,Silk
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Suede%22,Fabric,Suede
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Taffeta%22,Fabric,Taffeta
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Tulle%22,Fabric,Tulle
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Velour%22,Fabric,Velour
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Velvet%22,Fabric,Velvet
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10510_ntk_cs%3A%22Wool%22,Fabric,Wool
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f12005_ntk_cs%3A%22Logo+and+Graphic%22,Print,Logo and Graphic
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f12005_ntk_cs%3A%22Print%22,Print,Print
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f12005_ntk_cs%3A%22Solid+Color%22,Print,Solid Color
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f20007_ntk_cs%3A%22US+00%22,Clothing Size,US 00
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f20007_ntk_cs%3A%22US+0%22,Clothing Size,US 0
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f20007_ntk_cs%3A%22US+2%22,Clothing Size,US 2
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f20007_ntk_cs%3A%22US+4%22,Clothing Size,US 4
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f20007_ntk_cs%3A%22US+6%22,Clothing Size,US 6
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f20007_ntk_cs%3A%22US+8%22,Clothing Size,US 8
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f20007_ntk_cs%3A%22US+10%22,Clothing Size,US 10
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f20007_ntk_cs%3A%22US+12%22,Clothing Size,US 12
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f20007_ntk_cs%3A%22US+14%22,Clothing Size,US 14
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f20007_ntk_cs%3A%22US+15%22,Clothing Size,US 15
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f20007_ntk_cs%3A%22US+16%22,Clothing Size,US 16
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f20007_ntk_cs%3A%22US+18%22,Clothing Size,US 18
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f20007_ntk_cs%3A%22US+20%22,Clothing Size,US 20
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f20007_ntk_cs%3A%22US+22%22,Clothing Size,US 22
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f20007_ntk_cs%3A%22US+24%22,Clothing Size,US 24
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f20007_ntk_cs%3A%22US+26%22,Clothing Size,US 26
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10002_ntk_cs%3A%22XXXS%22,,XXXS
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10002_ntk_cs%3A%22XXS%22,,XXS
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10002_ntk_cs%3A%22XS%22,,XS
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10002_ntk_cs%3A%22S%22,,S
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10002_ntk_cs%3A%22M%22,,M
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10002_ntk_cs%3A%22L%22,,L
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10002_ntk_cs%3A%22XL%22,,XL
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/tops?facet=ads_f10002_ntk_cs%3A%22XXL%22,,XXL
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/clothing/tops/asymmetric-tops,Value_1,Asymmetric Tops
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/clothing/tops/cropped-tops,Value_1,Cropped Tops
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/clothing/tops/embellished-tops,Value_1,Embellished Tops
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/clothing/tops/graphic-and-logo-tops,Value_1,Graphic And Logo Tops
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/clothing/tops/long-sleeved-tops,Value_1,Long-Sleeved Tops
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/clothing/tops/short-sleeved-tops,Value_1,Short-Sleeved Tops
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/clothing/tops/sweatshirts-and-hoodies,Type,Sweatshirts and Hoodies
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/clothing/tops/tanks-and-camis,Type,Tanks and Camis
Clothing,Women,Western,Topwear,Tops,https://www.net-a-porter.com/en-us/shop/clothing/clothing/tops/turtleneck-tops,Value_1,Turtleneck Tops
