Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&size=1&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,size,Regular
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&size=2&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,size,Tall
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&size=3&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,size,Petite
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&size=8&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,size,Plus
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1124177&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Pants
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1186360&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Jeans
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1124179&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Leggings
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3009578&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Sweatpants
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3022511&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Joggers
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3032648&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Linen
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3032649&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Cargo
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1124180&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Skirts & Skorts
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1124178&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Shorts
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1173832&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Activewear
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3032651&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Chino
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3041370&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Barrel
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3042183&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Capris
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3042182&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Jeggings
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3039436&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Featured Styles
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3042181&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Crinkle Gauze
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3039565&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Overalls
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3039566&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Jumpsuits
Clothing,Women,Western,Bottomwear,Bottomwear,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1124176&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&department=136&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Department,Women
