Attr_Name,Attr_Value
Review Score,4 & up
Review Score,3 & up
Review Score,2 & up
Review Score,1 & up
size,Regular
size,Tall
size,Petite
Occasion,Casual
Occasion,Vacation
Occasion,Wedding Guest
Occasion,Party & Date Night
Occasion,Fourth of July
Occasion,Christmas
Occasion,Thanksgiving
Occasion,Wear to Work
Occasion,Valentine's Day
Occasion,New Year's Eve
Color,Black
Color,Gray
Color,Red
Color,Pink
Color,Blue
Color,Green
Color,Brown
Color,Multi
Color,Gold
Color,Purple
Color,White
Color,Orange
Color,Beige
Activity,Hiking
Activity,Yoga & Studio
Activity,Run & Train
Activity,Travel & Commute
Activity,Everyday Lifestyle
Activity,Home Workout
Activity,Walking
Activity,"Tennis, Golf, & Pickleball"
Activity,Outdoor Work
Popular Searches,Black Dresses
Popular Searches,Velvet
Popular Searches,Satin
Popular Searches,"Tennis, Golf, & Pickleball "
Popular Searches,Holiday Sweaters
Popular Searches,Sweater Dresses
Popular Searches,Sequin
Fabric Material,Cotton
Fabric Material,Linen
Fabric Material,Sweater
Fabric Material,Denim
Fabric Material,Velvet
Fabric Material,Rib-Knit
Fabric Material,Sequin
Fabric Material,Poplin
Fabric Material,Rib Knit
Fabric Material,Pucker
Fabric Material,Chiffon
Fabric Material,Rayon
Fabric Material,Satin
Fabric Material,Crepe
Fabric Material,Ponte
Fabric Material,Crinkle Gauze
Fabric Material,Knit
Neckline,Crew Neck
Neckline,V-Neck
Neckline,Square Neck
Neckline,Scoop Neck
Neckline,Halter
Neckline,Sweetheart
Neckline,Split Neck
Neckline,Mock Neck
Neckline,Off The Shoulder
Fit,Fitted
Inseam,"4"""
Inseam,"6"""
Inseam,"25"""
Inseam,"27.5"""
Inseam,"28"""
Performance / Technology ,Breathable
Performance / Technology ,Go-Dry
Performance / Technology ,UPF
Performance / Technology ,4-Way Stretch
Performance / Technology ,Go-Dry Cool
Sleeve Type,Ruffle
Details,Pockets
Details,Built-In Bra
Details,Elastic Waist
Details,Zipper
Details,Drawstring
Details,Built-In Shorts
New Style,Dresses
New Style,Active Bottoms
New Style,Bodysuits
New Style,Jumpsuits
New Style,Lounge
New Style,Active Dresses
New Style,Active One-Pieces
Length,7/8
Length,Full
Length,Mini
Length,Midi
Length,Maxi
Length,Short
Leg Shape,Leggings
Collection,PowerSoft
Collection,Dynamic Fleece
Collection,Pockets of Joy
Collection,Cloud+
Collection,CloudComfy
Collection,CloudMotion
Collection,Gifting
Collection,The '94 Reissue
Collection,Powersoft Coze Edition
Collection,Coordinating Sets
Sleeve Length,Sleeveless
Sleeve Length,Short Sleeve
Sleeve Length,Long Sleeve
style,Featured Styles
style,Jumpsuits & Rompers
style,Swing Dresses
style,Fit & Flare Dresses
style,Waist-Defined Dresses
style,Shift Dresses
style,Fitted Dresses
style,Active Dresses & Jumpsuits
style,Black Dresses
style,Shirt Dresses
style,Sweater Dresses
style,Floral Dresses
style,Linen Dresses
style,Sundresses
Department,Women
