Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Bottomwear,Jeans,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=85729&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1128874&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&size=1%7C61%7C1%7C744&vendor=Certona&trackingid=97260076437046473,style,Wide Leg Jeans
Clothing,Women,Western,Bottomwear,Jeans,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=85729&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3008708&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&size=1%7C61%7C1%7C744&vendor=Certona&trackingid=97260076437046473,style,Straight Jeans
Clothing,Women,Western,Bottomwear,Jeans,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=85729&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1137792&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&size=1%7C61%7C1%7C744&vendor=Certona&trackingid=97260076437046473,style,Loose Jeans
Clothing,Women,Western,Bottomwear,Jeans,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=85729&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3043543&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&size=1%7C61%7C1%7C744&vendor=Certona&trackingid=97260076437046473,style,Flare & Bootcut
Clothing,Women,Western,Bottomwear,Jeans,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=85729&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3008710&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&size=1%7C61%7C1%7C744&vendor=Certona&trackingid=97260076437046473,style,Skinny Jeans
Clothing,Women,Western,Bottomwear,Jeans,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=85729&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3008711&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&size=1%7C61%7C1%7C744&vendor=Certona&trackingid=97260076437046473,style,Wow Jeans
Clothing,Women,Western,Bottomwear,Jeans,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=85729&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1183520&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&size=1%7C61%7C1%7C744&vendor=Certona&trackingid=97260076437046473,style,Curvy Jeans
Clothing,Women,Western,Bottomwear,Jeans,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=85729&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3022198&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&size=1%7C61%7C1%7C744&vendor=Certona&trackingid=97260076437046473,style,Boyfriend Jeans
Clothing,Women,Western,Bottomwear,Jeans,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=85729&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1028854&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&size=1%7C61%7C1%7C744&vendor=Certona&trackingid=97260076437046473,style,Overalls
Clothing,Women,Western,Bottomwear,Jeans,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=85729&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3035032&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&size=1%7C61%7C1%7C744&vendor=Certona&trackingid=97260076437046473,style,Baggy Jeans
