Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Bottomwear,Pants,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=5475&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&size=1&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,size,Regular
Clothing,Women,Western,Bottomwear,Pants,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=5475&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&size=2&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,size,Tall
Clothing,Women,Western,Bottomwear,Pants,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=5475&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&size=3&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,size,Petite
Clothing,Women,Western,Bottomwear,Pants,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=5475&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3032671&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Wear to Work Pants
Clothing,Women,Western,Bottomwear,Pants,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=5475&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3028706&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Pull-On Pants
Clothing,Women,Western,Bottomwear,Pants,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=5475&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1061987&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Straight Pants
Clothing,Women,Western,Bottomwear,Pants,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=5475&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=93431&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Wide Leg Pants
Clothing,Women,Western,Bottomwear,Pants,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=5475&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3028709&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Pixie Pants
Clothing,Women,Western,Bottomwear,Pants,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=5475&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3028711&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Chino Pants
Clothing,Women,Western,Bottomwear,Pants,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=5475&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3018757&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Cargo Pants
Clothing,Women,Western,Bottomwear,Pants,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=5475&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=71962&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Flare & Bootcut Pants
Clothing,Women,Western,Bottomwear,Pants,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=5475&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3021591&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Activewear
Clothing,Women,Western,Bottomwear,Pants,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=5475&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3029252&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Sweatpants
