Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1166479&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Blouses
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1076766&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Button-Down Shirts
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3028747&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Tunics
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3035651&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Boyfriend Shirt
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3028746&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Linen Shirts
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3035650&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Flannels
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&size=1&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,size,Regular
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&size=2&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,size,Tall
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&size=3&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,size,Petite
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&department=136&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Department,Women
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&color=1017&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Color,Black
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&color=1029&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Color,White
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&color=1020&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Color,Pink
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&color=1021&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Color,Blue
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&color=1019&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Color,Red
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&color=1040&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Color,Beige
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&color=1022&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Color,Green
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&color=1028&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Color,Purple
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&color=1023&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Color,Brown
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&color=1031&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Color,Yellow
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&color=1025&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Color,Multi
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&color=1034&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Color,Orange
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&sleeveLength=1929&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Sleeve Length,Long Sleeve
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&sleeveLength=1928&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Sleeve Length,Short Sleeve
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&sleeveLength=1927&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Sleeve Length,Sleeveless
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&length=2517&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Length,Below Waist
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&length=2154&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Length,Tunic
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&length=1750&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Length,Cropped
Clothing,Women,Western,Topwear,Blouses & Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=72087&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&length=2516&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Length,At Waist
