Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Bottomwear,Skirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=79586&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&size=1&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,size,Regular
Clothing,Women,Western,Bottomwear,Skirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=79586&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&size=2&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,size,Tall
Clothing,Women,Western,Bottomwear,Skirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=79586&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&size=3&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,size,Petite
Clothing,Women,Western,Bottomwear,Skirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=79586&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1011459&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Midi
Clothing,Women,Western,Bottomwear,Skirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=79586&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1011458&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Mini
Clothing,Women,Western,Bottomwear,Skirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=79586&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1161760&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Maxi
Clothing,Women,Western,Bottomwear,Skirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=79586&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3028744&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Denim Skirts
Clothing,Women,Western,Bottomwear,Skirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=79586&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3024553&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Black Skirts
Clothing,Women,Western,Bottomwear,Skirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=79586&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3024555&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Satin Skirts
Clothing,Women,Western,Bottomwear,Skirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=79586&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3028745&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Linen Skirts
Clothing,Women,Western,Bottomwear,Skirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=79586&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3035649&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Sweater Skirts
Clothing,Women,Western,Bottomwear,Skirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=79586&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1011457&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,style,Activewear Skorts
Clothing,Women,Western,Bottomwear,Skirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=79586&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&length=1755&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,Length,Midi
Clothing,Women,Western,Bottomwear,Skirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=79586&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&length=1756&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&vendor=Certona&trackingid=97260076437046473,Length,Maxi
