Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Topwear,T-Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1035712&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1036154&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Short Sleeve T-Shirts
Clothing,Women,Western,Topwear,T-Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1035712&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1036155&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Long Sleeve T-Shirts
Clothing,Women,Western,Topwear,T-Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1035712&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1049956&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Graphic T-Shirts
Clothing,Women,Western,Topwear,T-Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1035712&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=1036153&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Tank Tops
Clothing,Women,Western,Topwear,T-Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1035712&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3024561&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,EveryWear T-Shirts
Clothing,Women,Western,Topwear,T-Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1035712&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3024560&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Luxe T-Shirts
Clothing,Women,Western,Topwear,T-Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1035712&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3028676&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Vintage Tees
Clothing,Women,Western,Topwear,T-Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1035712&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3032637&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Tunic T-Shirts
Clothing,Women,Western,Topwear,T-Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1035712&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3021460&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Activewear Tops
Clothing,Women,Western,Topwear,T-Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1035712&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3032638&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Crop Tops
Clothing,Women,Western,Topwear,T-Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1035712&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3008106&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Bodysuits
Clothing,Women,Western,Topwear,T-Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1035712&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&style=3035698&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,style,Camis
Clothing,Women,Western,Topwear,T-Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1035712&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&department=136&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Department,Women
Clothing,Women,Western,Topwear,T-Shirts,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=1035712&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&department=75&enableDynamicFacets=true&enableSwatchSort=true&sortSwatchesBy=bestsellers&department=136&vendor=Certona&trackingid=97260076437046473,Department,Men
