Attr_Name,Attr_Value
Sleeve_Length,3/4 Sleeve
Sleeve_Length,Long Sleeve
Sleeve_Length,Short Sleeve
Sleeve_Length,Sleeveless
Sleeve_Length,Strapless
Length,Hi-Low
Length,Maxi
Length,Midi
Length,Short
Neckline,Boat Neck
Neckline,Cowl Neck
Neckline,Halter
Neckline,Mock Neck
Neckline,Off Shoulder
Neckline,Round
Neckline,Square
Neckline,Turtle Neck
Neckline,V-neck
Fit,Empire Waist
Fit,Regular
Fit,Flowy
Fit,Fitted
Fit,Shift
Fit,Petite
Fit,Tall
Fit,Skater
Functional_Details,Ruffles
Functional_Details,Off Shoulder
Functional_Details,Lace
Functional_Details,Embroidery
Functional_Details,Crochet
Functional_Details,Pockets
Functional_Details,Cutout
Functional_Details,Lined
Functional_Details,Bell Sleeve
Functional_Details,Fringe
