Product_Category,Product_Type,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,,Women,Western,Topwear,Tops,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fwomens-tops&filter.sleevelength=3/4 Sleeve&bgfilter.navigationid=83&filter.sleevelength=3/4 Sleeve&bgfilter.cookie=women&q=&userId=0b960102-08f6-4a92-97b8-d1fc33509d68&sessionId=fd48c430-c0ea-4bac-957b-1a435edc38e2&pageLoadId=d280ac2b-5695-4dba-a2b3-a180d8b90ce0,Sleeve_Length,3/4 Sleeve
Clothing,,Women,Western,Topwear,Tops,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fwomens-tops&filter.sleevelength=Long Sleeve&bgfilter.navigationid=83&filter.sleevelength=Long Sleeve&bgfilter.cookie=women&q=&userId=0b960102-08f6-4a92-97b8-d1fc33509d68&sessionId=fd48c430-c0ea-4bac-957b-1a435edc38e2&pageLoadId=d280ac2b-5695-4dba-a2b3-a180d8b90ce0,Sleeve_Length,Long Sleeve
Clothing,,Women,Western,Topwear,Tops,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fwomens-tops&filter.sleevelength=Short Sleeve&bgfilter.navigationid=83&filter.sleevelength=Short Sleeve&bgfilter.cookie=women&q=&userId=0b960102-08f6-4a92-97b8-d1fc33509d68&sessionId=fd48c430-c0ea-4bac-957b-1a435edc38e2&pageLoadId=d280ac2b-5695-4dba-a2b3-a180d8b90ce0,Sleeve_Length,Short Sleeve
Clothing,,Women,Western,Topwear,Tops,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fwomens-tops&filter.sleevelength=Sleeveless&bgfilter.navigationid=83&filter.sleevelength=Sleeveless&bgfilter.cookie=women&q=&userId=0b960102-08f6-4a92-97b8-d1fc33509d68&sessionId=fd48c430-c0ea-4bac-957b-1a435edc38e2&pageLoadId=d280ac2b-5695-4dba-a2b3-a180d8b90ce0,Sleeve_Length,Sleeveless
Clothing,,Women,Western,Topwear,Tops,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fwomens-tops&filter.sleevelength=Strapless&bgfilter.navigationid=83&filter.sleevelength=Strapless&bgfilter.cookie=women&q=&userId=0b960102-08f6-4a92-97b8-d1fc33509d68&sessionId=fd48c430-c0ea-4bac-957b-1a435edc38e2&pageLoadId=d280ac2b-5695-4dba-a2b3-a180d8b90ce0,Sleeve_Length,Strapless
Clothing,,Women,Western,Topwear,Tops,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fwomens-tops&filter.length=Long&bgfilter.navigationid=83&filter.length=Long&bgfilter.cookie=women&q=&userId=0b960102-08f6-4a92-97b8-d1fc33509d68&sessionId=fd48c430-c0ea-4bac-957b-1a435edc38e2&pageLoadId=d280ac2b-5695-4dba-a2b3-a180d8b90ce0,Length,Long
Clothing,,Women,Western,Topwear,Tops,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fwomens-tops&filter.length=Short&bgfilter.navigationid=83&filter.length=Short&bgfilter.cookie=women&q=&userId=0b960102-08f6-4a92-97b8-d1fc33509d68&sessionId=fd48c430-c0ea-4bac-957b-1a435edc38e2&pageLoadId=d280ac2b-5695-4dba-a2b3-a180d8b90ce0,Length,Short
Clothing,,Women,Western,Topwear,Tops,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fwomens-tops&filter.neckline=Boat Neck&bgfilter.navigationid=83&filter.neckline=Boat Neck&bgfilter.cookie=women&q=&userId=0b960102-08f6-4a92-97b8-d1fc33509d68&sessionId=fd48c430-c0ea-4bac-957b-1a435edc38e2&pageLoadId=d280ac2b-5695-4dba-a2b3-a180d8b90ce0,Neckline,Boat Neck
Clothing,,Women,Western,Topwear,Tops,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fwomens-tops&filter.neckline=Cowl Neck&bgfilter.navigationid=83&filter.neckline=Cowl Neck&bgfilter.cookie=women&q=&userId=0b960102-08f6-4a92-97b8-d1fc33509d68&sessionId=fd48c430-c0ea-4bac-957b-1a435edc38e2&pageLoadId=d280ac2b-5695-4dba-a2b3-a180d8b90ce0,Neckline,Cowl Neck
Clothing,,Women,Western,Topwear,Tops,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fwomens-tops&filter.neckline=Halter&bgfilter.navigationid=83&filter.neckline=Halter&bgfilter.cookie=women&q=&userId=0b960102-08f6-4a92-97b8-d1fc33509d68&sessionId=fd48c430-c0ea-4bac-957b-1a435edc38e2&pageLoadId=d280ac2b-5695-4dba-a2b3-a180d8b90ce0,Neckline,Halter
