Product_Category,Product_Type,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.sleevelength=3/4 Sleeve&bgfilter.navigationid=324&filter.sleevelength=3/4 Sleeve&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Sleeve_Length,3/4 Sleeve
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.sleevelength=Long Sleeve&bgfilter.navigationid=324&filter.sleevelength=Long Sleeve&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Sleeve_Length,Long Sleeve
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.sleevelength=Short Sleeve&bgfilter.navigationid=324&filter.sleevelength=Short Sleeve&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Sleeve_Length,Short Sleeve
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.sleevelength=Sleeveless&bgfilter.navigationid=324&filter.sleevelength=Sleeveless&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Sleeve_Length,Sleeveless
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.sleevelength=Strapless&bgfilter.navigationid=324&filter.sleevelength=Strapless&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Sleeve_Length,Strapless
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.length=Hi-Low&bgfilter.navigationid=324&filter.length=Hi-Low&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Length,Hi-Low
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.length=Maxi&bgfilter.navigationid=324&filter.length=Maxi&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Length,Maxi
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.length=Midi&bgfilter.navigationid=324&filter.length=Midi&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Length,Midi
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.length=Short&bgfilter.navigationid=324&filter.length=Short&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Length,Short
Clothing,Casual Dresses,Women,Western,Dresses and Jumpsuits,Dresses,https://cie0u8.a.searchspring.io/api/search/search.json?ajaxCatalog=v3&resultsFormat=native&siteId=cie0u8&domain=https%3A%2F%2Fwww.pinkblushmaternity.com%2Fcollections%2Fmaternity-casual-and-everyday-dresses&filter.neckline=Boat Neck&bgfilter.navigationid=324&filter.neckline=Boat Neck&bgfilter.cookie=maternity&q=&page=-0&userId=34858d21-ed86-4f04-9b3c-97eaf0750f51&sessionId=9295e2e8-1b77-486f-8fd0-bc0e7dd94fad&pageLoadId=2c857b93-e234-4844-a1cf-ce0383c0f232&lastViewed=M-IM7231-BLK&lastViewed=M-SY4181-BLK&intellisuggest=0,Neckline,Boat Neck
