Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value,_id
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Basics,extra.Style,Basics,"{""field"": ""extra.Style"", ""value"": [""Basics""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Bottoms,extra.Style,Bottoms,"{""field"": ""extra.Style"", ""value"": [""Bottoms""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Corsets / Bustiers,extra.Style,Corsets / Bustiers,"{""field"": ""extra.Style"", ""value"": [""Corsets / Bustiers""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Crop Tops,extra.Style,Crop Tops,"{""field"": ""extra.Style"", ""value"": [""Crop Tops""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Curve,extra.Style,Curve,"{""field"": ""extra.Style"", ""value"": [""Curve""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Denim Jackets,extra.Style,Denim Jackets,"{""field"": ""extra.Style"", ""value"": [""Denim Jackets""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Flared Sleeve,extra.Style,Flared Sleeve,"{""field"": ""extra.Style"", ""value"": [""Flared Sleeve""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=High Waisted,extra.Style,High Waisted,"{""field"": ""extra.Style"", ""value"": [""High Waisted""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Jackets,extra.Style,Jackets,"{""field"": ""extra.Style"", ""value"": [""Jackets""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Long Sleeve,extra.Style,Long Sleeve,"{""field"": ""extra.Style"", ""value"": [""Long Sleeve""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Long Sleeve Tops,extra.Style,Long Sleeve Tops,"{""field"": ""extra.Style"", ""value"": [""Long Sleeve Tops""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Loungewear,extra.Style,Loungewear,"{""field"": ""extra.Style"", ""value"": [""Loungewear""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Mesh Tops,extra.Style,Mesh Tops,"{""field"": ""extra.Style"", ""value"": [""Mesh Tops""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Pleated,extra.Style,Pleated,"{""field"": ""extra.Style"", ""value"": [""Pleated""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Pleated Skirts,extra.Style,Pleated Skirts,"{""field"": ""extra.Style"", ""value"": [""Pleated Skirts""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Puffed Sleeve,extra.Style,Puffed Sleeve,"{""field"": ""extra.Style"", ""value"": [""Puffed Sleeve""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Sets,extra.Style,Sets,"{""field"": ""extra.Style"", ""value"": [""Sets""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Shirts & Blouses,extra.Style,Shirts & Blouses,"{""field"": ""extra.Style"", ""value"": [""Shirts & Blouses""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Shorts,extra.Style,Shorts,"{""field"": ""extra.Style"", ""value"": [""Shorts""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Sleeveless,extra.Style,Sleeveless,"{""field"": ""extra.Style"", ""value"": [""Sleeveless""]}"
Clothing,Women,Western,Topwear,Shirts & Blouses,https://us.princesspolly.com/collections/shirts-blouses?filter.extra.Style=Sweaters,extra.Style,Sweaters,"{""field"": ""extra.Style"", ""value"": [""Sweaters""]}"
