Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value,_id
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.extra.Style=Activewear,extra.Style,Activewear,"{""field"": ""extra.Style"", ""value"": [""Activewear""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.extra.Style=Basics,extra.Style,Basics,"{""field"": ""extra.Style"", ""value"": [""Basics""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.extra.Style=Crop Tops,extra.Style,Crop Tops,"{""field"": ""extra.Style"", ""value"": [""Crop Tops""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.extra.Style=Curve,extra.Style,Curve,"{""field"": ""extra.Style"", ""value"": [""Curve""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.extra.Style=Dresses,extra.Style,Dresses,"{""field"": ""extra.Style"", ""value"": [""Dresses""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.extra.Style=Graphic Tees,extra.Style,Graphic Tees,"{""field"": ""extra.Style"", ""value"": [""Graphic Tees""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.extra.Style=Long Sleeve Tops,extra.Style,Long Sleeve Tops,"{""field"": ""extra.Style"", ""value"": [""Long Sleeve Tops""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.extra.Style=Mini Dresses,extra.Style,Mini Dresses,"{""field"": ""extra.Style"", ""value"": [""Mini Dresses""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.extra.Style=Off Shoulder,extra.Style,Off Shoulder,"{""field"": ""extra.Style"", ""value"": [""Off Shoulder""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.extra.Style=Tees,extra.Style,Tees,"{""field"": ""extra.Style"", ""value"": [""Tees""]}"
