Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value,_id
Clothing,Women,Western,Topwear,Tops,https://us.princesspolly.com/collections/tops?filter.extra.Style=Accessories,extra.Style,Accessories,"{""field"": ""extra.Style"", ""value"": [""Accessories""]}"
Clothing,Women,Western,Topwear,Tops,https://us.princesspolly.com/collections/tops?filter.extra.Style=Activewear,extra.Style,Activewear,"{""field"": ""extra.Style"", ""value"": [""Activewear""]}"
Clothing,Women,Western,Topwear,Tops,https://us.princesspolly.com/collections/tops?filter.extra.Style=Basics,extra.Style,Basics,"{""field"": ""extra.Style"", ""value"": [""Basics""]}"
Clothing,Women,Western,Topwear,Tops,https://us.princesspolly.com/collections/tops?filter.extra.Style=Belted,extra.Style,Belted,"{""field"": ""extra.Style"", ""value"": [""Belted""]}"
Clothing,Women,Western,Topwear,Tops,https://us.princesspolly.com/collections/tops?filter.extra.Style=Bikini Bottoms,extra.Style,Bikini Bottoms,"{""field"": ""extra.Style"", ""value"": [""Bikini Bottoms""]}"
Clothing,Women,Western,Topwear,Tops,https://us.princesspolly.com/collections/tops?filter.extra.Style=Bikini Tops,extra.Style,Bikini Tops,"{""field"": ""extra.Style"", ""value"": [""Bikini Tops""]}"
Clothing,Women,Western,Topwear,Tops,https://us.princesspolly.com/collections/tops?filter.extra.Style=Bodysuits,extra.Style,Bodysuits,"{""field"": ""extra.Style"", ""value"": [""Bodysuits""]}"
Clothing,Women,Western,Topwear,Tops,https://us.princesspolly.com/collections/tops?filter.extra.Style=Bottoms,extra.Style,Bottoms,"{""field"": ""extra.Style"", ""value"": [""Bottoms""]}"
Clothing,Women,Western,Topwear,Tops,https://us.princesspolly.com/collections/tops?filter.extra.Style=Cardigans,extra.Style,Cardigans,"{""field"": ""extra.Style"", ""value"": [""Cardigans""]}"
Clothing,Women,Western,Topwear,Tops,https://us.princesspolly.com/collections/tops?filter.extra.Style=Collar,extra.Style,Collar,"{""field"": ""extra.Style"", ""value"": [""Collar""]}"
Clothing,Women,Western,Topwear,Tops,https://us.princesspolly.com/collections/tops?filter.extra.Style=Corsets / Bustiers,extra.Style,Corsets / Bustiers,"{""field"": ""extra.Style"", ""value"": [""Corsets / Bustiers""]}"
Clothing,Women,Western,Topwear,Tops,https://us.princesspolly.com/collections/tops?filter.extra.Style=Crop Tops,extra.Style,Crop Tops,"{""field"": ""extra.Style"", ""value"": [""Crop Tops""]}"
Clothing,Women,Western,Topwear,Tops,https://us.princesspolly.com/collections/tops?filter.extra.Style=Cropped,extra.Style,Cropped,"{""field"": ""extra.Style"", ""value"": [""Cropped""]}"
Clothing,Women,Western,Topwear,Tops,https://us.princesspolly.com/collections/tops?filter.extra.Style=Flared Sleeve,extra.Style,Flared Sleeve,"{""field"": ""extra.Style"", ""value"": [""Flared Sleeve""]}"
Clothing,Women,Western,Topwear,Tops,https://us.princesspolly.com/collections/tops?filter.extra.Style=Formal & Prom,extra.Style,Formal & Prom,"{""field"": ""extra.Style"", ""value"": [""Formal & Prom""]}"
