Attr,Name,Total
By Style,Black,3090.0
By Style,Blazer,140.0
By Style,Bodycon,3436.0
By Style,Bohemian,102.0
By Style,Bridal,365.0
By Style,Bridesmaid,225.0
By Style,Bustier,928.0
By Style,Caftans,17.0
By Style,Casual,468.0
By Style,Cut-Out,1914.0
By Style,Denim,209.0
By Style,Fit & Flare,1561.0
By Style,Floral,1514.0
By Style,Gingham,52.0
By Style,Gowns,2878.0
By Style,Halter,1321.0
By Style,Lace,735.0
By Style,Leather,161.0
By Style,Off The Shoulder,856.0
By Style,One Shoulder,1145.0
By Style,Polka Dots,133.0
By Style,Shift,299.0
By Style,Shirt Dress,368.0
By Style,Slip Dresses,636.0
By Style,Sundresses,583.0
By Style,Sweater,804.0
By Style,T-Shirt,67.0
By Style,Tie Dye,79.0
By Style,Velvet,203.0
By Style,Wrap,269.0
Cut,Fitted,50
Cut,Straight,50
Cut,Flared,3
