Display_Title,Item_Url,Original_Price,Selling_Price,Native_Product_Id,Brand,Category,Subcategory1,Subcategory2,Subcategory3,Product_Category,Referrer_Url
Bella Gown,https://www.revolve.com/lovers-and-friends-bella-gown-in-baby-blue/dp/LOVF-WD4051/,258,176,LOVF-WD4051,Lovers and Friends,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Cleo Gown,https://www.revolve.com/lovers-and-friends-cleo-gown-in-chocolate-brown/dp/LOVF-WD4264/,288,288,LOVF-WD4264,Lovers and Friends,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Trompe Dress,https://www.revolve.com/elliatt-trompe-dress-in-pink/dp/ELLI-WD668/,200,200,ELLI-WD668,ELLIATT,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Seina Midi Dress,https://www.revolve.com/lpa-seina-midi-dress-in-natural-linen/dp/LPAR-WD820/,268,268,LPAR-WD820,LPA,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Megan Mini Dress,https://www.revolve.com/bronx-and-banco-megan-mini-dress-in-rose/dp/BROR-WD262/,480,480,BROR-WD262,Bronx and Banco,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x Rachel Lilium Gown,https://www.revolve.com/lovers-and-friends-x-rachel-lilium-gown-in-beige-neutral/dp/LOVF-WD3827/,328,230,LOVF-WD3827,Lovers and Friends,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Strapless Bill Pickleball With Bow,https://www.revolve.com/norma-kamali-strapless-bill-pickleball-with-bow-in-tiger-red-snow-white/dp/NKAM-WD532/,395,395,NKAM-WD532,Norma Kamali,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
by Marianna Simone Mini Dress,https://www.revolve.com/lacademie-by-marianna-simone-mini-dress-in-ivory/dp/LCDE-WD883/,228,135,LCDE-WD883,L'Academie,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
x FP Movement Swing Of Things Dress,https://www.revolve.com/free-people-x-fp-movement-swing-of-things-dress-in-skyline/dp/FREE-WD2961/,128,128,FREE-WD2961,Free People,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Outlaw Dress,https://www.revolve.com/show-me-your-mumu-outlaw-dress-in-tide/dp/SHOW-WD438/,165,165,SHOW-WD438,Show Me Your Mumu,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
