Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://us.shein.com/Women-Dresses-c-1727.html?tsp_ids=33_60007214,Occasion,Night Out
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://us.shein.com/Women-Dresses-c-1727.html?tsp_ids=33_60007215,Occasion,Daily Casual
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://us.shein.com/Women-Dresses-c-1727.html?tsp_ids=33_60007216,Occasion,Office Fashion
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://us.shein.com/Women-Dresses-c-1727.html?tsp_ids=33_60007217,Occasion,Formal Party
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://us.shein.com/Women-Dresses-c-1727.html?tsp_ids=33_60007218,Occasion,Vacation Time
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://us.shein.com/Women-Dresses-c-1727.html?tsp_ids=38_60007252,Season,Spring
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://us.shein.com/Women-Dresses-c-1727.html?tsp_ids=38_60007253,Season,Summer
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://us.shein.com/Women-Dresses-c-1727.html?tsp_ids=38_60007254,Season,Fall/Autumn
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://us.shein.com/Women-Dresses-c-1727.html?tsp_ids=38_60007255,Season,Winter
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://us.shein.com/Women-Dresses-c-1727.html?tsp_ids=73_600018663,SHEIN Collection,SHEIN X Designers
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://us.shein.com/Women-Dresses-c-1727.html?attr_values=Red&attr_ids=27_144-27_421-27_544-27_1000107-27_1000108-27_1000113&exc_attr_id=27,Color,Red
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://us.shein.com/Women-Dresses-c-1727.html?attr_values=White&attr_ids=27_103-27_739&exc_attr_id=27,Color,White
