Attr_Name,Attr_Value
Color,Black
Color,Blue
Color,Bronze
Color,Brown
Color,Clear
Color,Floral
Color,Gold
Color,Graphic
Color,Green
Color,Grey
Color,Metallic
Color,Multi
Color,Off White
Color,Orange
Color,Pink
Color,Plaid
Color,Print
Color,Purple
Color,Red
Color,Rose Gold
Color,Silver
Color,Stripe
Color,Tan
Color,White
Color,Yellow
Wash,Black Wash
Wash,Dark Rinse
Wash,Grey Wash
Wash,Light Wash
Wash,Medium Wash
Wash,White Wash
Style,A-Line
Style,Babydoll
Style,Cutout
Style,Knit
Style,Shirtdress
Style,Slipdress
Style,T-Shirt Dress
Style,Wrap
Occasion,Active
Occasion,Casual & Everyday
Occasion,Event
Occasion,Night Out
Occasion,Vacation
Neckline,Boat
Neckline,Collared
Neckline,Cowl
Neckline,Crew
Neckline,Halter
Neckline,Henley
Neckline,Hooded
Neckline,Off Shoulder
Neckline,One Shoulder
Neckline,Scoop
Neckline,Squared
Neckline,Strapless
Neckline,Sweetheart
Neckline,Turtle & Mock Neck
Neckline,V-Neck
Length,Mini
Length,Knee-Length
Length,Midi
Length,Maxi
Sleeve Length,Sleeveless
Sleeve Length,Short Sleeve
Sleeve Length,3/4 Sleeve
Sleeve Length,Long Sleeve
