Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Clothing,Women,Western,Outerwear,Jackets & Coats,Clothing,"00, XXS","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-00, XXS_PantsCaprisShortsSkirts&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
Clothing,Women,Western,Outerwear,Jackets & Coats,Clothing,"0, XS","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-0, XS_PantsCaprisShortsSkirts&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
Clothing,Women,Western,Outerwear,Jackets & Coats,Clothing,"2, XS, S","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-2, XS, S_PantsCaprisShortsSkirts&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
Clothing,Women,Western,Outerwear,Jackets & Coats,Clothing,"4, S, M","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-4, S, M_PantsCaprisShortsSkirts&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
Clothing,Women,Western,Outerwear,Jackets & Coats,Clothing,"6, M","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-6, M_PantsCaprisShortsSkirts&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
Clothing,Women,Western,Outerwear,Jackets & Coats,Clothing,"8, M, L","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-8, M, L_PantsCaprisShortsSkirts&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
Clothing,Women,Western,Outerwear,Jackets & Coats,Clothing,"10, L","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-10, L_PantsCaprisShortsSkirts&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
Clothing,Women,Western,Outerwear,Jackets & Coats,Clothing,"12, L, XL","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-12, L, XL_PantsCaprisShortsSkirts&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
Clothing,Women,Western,Outerwear,Jackets & Coats,Clothing,"14, XL","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-14, XL_PantsCaprisShortsSkirts&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
Clothing,Women,Western,Outerwear,Jackets & Coats,Clothing,"16, XXL","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13414&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-16, XXL_PantsCaprisShortsSkirts&disableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
