Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Clothing,Women,Western,Outerwear,Sweaters & Knitwear,Clothing,"00, XXS","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13317&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-00, XXS_PantsCaprisShortsSkirtsdisableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
Clothing,Women,Western,Outerwear,Sweaters & Knitwear,Clothing,"0, XS","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13317&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-0, XS_PantsCaprisShortsSkirtsdisableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
Clothing,Women,Western,Outerwear,Sweaters & Knitwear,Clothing,"2, XS, S","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13317&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-2, XS, S_PantsCaprisShortsSkirtsdisableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
Clothing,Women,Western,Outerwear,Sweaters & Knitwear,Clothing,"4, S, M","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13317&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-4, S, M_PantsCaprisShortsSkirtsdisableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
Clothing,Women,Western,Outerwear,Sweaters & Knitwear,Clothing,"6, M","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13317&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-6, M_PantsCaprisShortsSkirtsdisableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
Clothing,Women,Western,Outerwear,Sweaters & Knitwear,Clothing,"8, M, L","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13317&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-8, M, L_PantsCaprisShortsSkirtsdisableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
Clothing,Women,Western,Outerwear,Sweaters & Knitwear,Clothing,"10, L","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13317&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-10, L_PantsCaprisShortsSkirtsdisableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
Clothing,Women,Western,Outerwear,Sweaters & Knitwear,Clothing,"12, L, XL","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13317&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-12, L, XL_PantsCaprisShortsSkirtsdisableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
Clothing,Women,Western,Outerwear,Sweaters & Knitwear,Clothing,"14, XL","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13317&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-14, XL_PantsCaprisShortsSkirtsdisableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
Clothing,Women,Western,Outerwear,Sweaters & Knitwear,Clothing,"16, XXL","https://api.shopbop.com/public/products?siteId=1000&lang=en-US&currency=USD&categoryId=13317&facetAllowList=C&offset=-0&limit=100&includeFacets=true&f=sizeMatrixSizes-16, XXL_PantsCaprisShortsSkirtsdisableSiteEligibilityFiltering=true&imageStrategy=Q_ASPECT"
